"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"FORIS AG Bonn";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"21.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b040ee6d6840018a";"07788";"Wed Jul  8 23:25:07 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4069c833fff2c2f0";"07788";"Wed Jul  8 23:25:07 2020"
"Landesbank Baden-Württemberg Stuttgart";"Rechnungslegung/ Finanzberichte";"» Half-yearly financial report 2014";"13.04.2017";"50%";"0d747c0b2dd5781887ce3d83356491d9";"fed6e9b20c3c5a68";"07788";"Wed Jul  8 23:25:07 2020"
"Rocket Internet SE Berlin";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"07.12.2016";"50%";"0d747c0b2dd5781887ce3d83356491d9";"416958293f68d9b4";"07788";"Wed Jul  8 23:25:07 2020"
"ThyssenKrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht 1. Halbjahr 2008/2009 - 01. Oktober 2008 - 31. März 2009 - (Halbjahresfinanzbericht)";"14.05.2009";"50%";"0d747c0b2dd5781887ce3d83356491d9";"fe74c509cc766bb6";"07788";"Wed Jul  8 23:25:07 2020"
"ThyssenKrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht 1. Quartal 2008/2009 - 1. Oktober – 31. Dezember 2008";"16.02.2009";"50%";"0d747c0b2dd5781887ce3d83356491d9";"03fc0027398ce489";"07788";"Wed Jul  8 23:25:07 2020"
"WizCom Technologies Ltd. Jerusalem";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"11.09.2008";"50%";"0d747c0b2dd5781887ce3d83356491d9";"640e87b91f05dde3";"07788";"Wed Jul  8 23:25:07 2020"
"Corporate Equity Partners AG Zug";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"18.03.2008";"50%";"0d747c0b2dd5781887ce3d83356491d9";"fa1064d2151ce6d7";"07788";"Wed Jul  8 23:25:07 2020"
"Wacker Chemie AG München";"Rechnungslegung/ Finanzberichte";"» Bericht über das 3. Quartal 2007";"04.02.2008";"50%";"0d747c0b2dd5781887ce3d83356491d9";"e070cf4b1b0c7d15";"07788";"Wed Jul  8 23:25:07 2020"
"Pulsion Medical Systems AG München";"Rechnungslegung/ Finanzberichte";"» Interim Report as of June 30, 2007";"31.10.2007";"50%";"0d747c0b2dd5781887ce3d83356491d9";"541323d83974031c";"07788";"Wed Jul  8 23:25:07 2020"
"Wacker Chemie AG München";"Rechnungslegung/ Finanzberichte";"» Verkürzter Konzernzwischenabschluss zum 30. Juni 2007";"28.08.2007";"50%";"0d747c0b2dd5781887ce3d83356491d9";"6b17cb0b3bd9ddf1";"07788";"Wed Jul  8 23:25:07 2020"
