"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"GeVaS Gesellschaft für Vermögensaufbau und Sicherung AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c5f8116d47b94cce";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"adfe2d72eef15673";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS Gesellschaft für Vermögensaufbau und Sicherung AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a91e871d90109eaa";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7231455203f87420";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS Gesellschaft für Vermögensaufbau und Sicherung AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"33b6abeacb3e9dd0";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"95103fbd823d076b";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.11.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"67a57a9063b8e915";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS Gesellschaft für Vermögensaufbau und Sicherung AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.11.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0ca43f430531de79";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS Gesellschaft für Vermögensaufbau und Sicherung AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"29.09.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0b08aa3c870baf36";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"24.09.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"73174728bd3f93d3";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS Gesellschaft für Vermögensaufbau und Sicherung AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f6106b651db761d4";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"eaaf7085829235c3";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS Gesellschaft für Vermögensaufbau und Sicherung AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.11.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8de1a1cef7b5fcdb";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.11.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3d668e202b119457";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS Gesellschaft für Vermögensaufbau und Sicherung AG Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8a30634d44fa1679";"23449";"Wed Jul  8 23:01:20 2020"
"GeVaS AG (vormals: GeVaS Newcomer GmbH) Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"09.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4688f0321f1c8dd1";"23449";"Wed Jul  8 23:01:20 2020"
