"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Gesellschaft für digitale Bildung mbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2ced26af754ce942";"33516";"Wed Jul  8 23:49:21 2020"
"Gesellschaft für digitale Bildung mbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"28f9a06b7df94a3d";"33516";"Wed Jul  8 23:49:21 2020"
"Gesellschaft für digitale Bildung mbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"28.03.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"2332a9c16b4af0c2";"33516";"Wed Jul  8 23:49:21 2020"
"LBS-Beteiligungsgesellschaft mbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"04.10.2019";"33%";"0d747c0b2dd5781887ce3d83356491d9";"c993d2c956c3fae8";"33516";"Wed Jul  8 23:49:21 2020"
"LBS-Beteiligungsgesellschaft mbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"11.10.2018";"33%";"0d747c0b2dd5781887ce3d83356491d9";"b1d3e33dcad37c55";"33516";"Wed Jul  8 23:49:21 2020"
"Franz Haniel & Cie. GmbH Duisburg-Ruhrort";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"07.09.2018";"33%";"0d747c0b2dd5781887ce3d83356491d9";"8dd992889f47d9ae";"33516";"Wed Jul  8 23:49:21 2020"
"DWS Group GmbH & Co. KGaA (vormals: DWS Group SE) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht  zum 30. Juni 2018";"09.08.2018";"33%";"0d747c0b2dd5781887ce3d83356491d9";"be67e8aec45c1b11";"33516";"Wed Jul  8 23:49:21 2020"
"Franz Haniel & Cie. GmbH Duisburg-Ruhrort";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht 2017 zum 30. Juni 2017";"04.09.2017";"31%";"0d747c0b2dd5781887ce3d83356491d9";"54ad670a816c3325";"33516";"Wed Jul  8 23:49:21 2020"
"Sparkasse Rosenheim-Bad Aibling Rosenheim und Bad Aibling";"Rechnungslegung/ Finanzberichte";"» nichtfinanzielle Erklärung gemäß § 340a Abs. 1a HGB für das Geschäftsjahr 2017";"08.08.2018";"10%";"0d747c0b2dd5781887ce3d83356491d9";"c53868e8bc432ba1";"33516";"Wed Jul  8 23:49:21 2020"
"Landessparkasse zu Oldenburg Oldenburg";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.07.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"e28a9f6543e43e30";"33516";"Wed Jul  8 23:49:21 2020"
"Deutsche Handelsbank AG München";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht gemäß Teil 8 der Verordnung (EU) 575/2013 zum 31.12.2018";"01.07.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"cbff29172ce5d2a9";"33516";"Wed Jul  8 23:49:21 2020"
"LVM Landwirtschaftlicher Versicherungsverein Münster a. G. Münster";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.07.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"f6eea1daca4b617b";"33516";"Wed Jul  8 23:49:21 2020"
"OstseeSparkasse Rostock Rostock";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.07.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"8c0ef3f8c9e43b40";"33516";"Wed Jul  8 23:49:21 2020"
"Erzgebirgssparkasse Annaberg-Buchholz";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.07.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"9c4facf86312a712";"33516";"Wed Jul  8 23:49:21 2020"
"Sparkasse Karlsruhe Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"23.06.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"f75746aee4f4a19b";"33516";"Wed Jul  8 23:49:21 2020"
"LANXESS Aktiengesellschaft Köln";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"27.04.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"bf1654dcc0526eae";"33516";"Wed Jul  8 23:49:21 2020"
"Landesbank Berlin AG Berlin";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.04.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"dd0b84af12e3d92b";"33516";"Wed Jul  8 23:49:21 2020"
"DMG MORI AKTIENGESELLSCHAFT Bielefeld";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.04.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"0287273c40a915d6";"33516";"Wed Jul  8 23:49:21 2020"
"Deutsche Pfandbriefbank AG Garching";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.04.2020";"5%";"0d747c0b2dd5781887ce3d83356491d9";"e4b96a3b0fb11783";"33516";"Wed Jul  8 23:49:21 2020"
