"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Gini GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2b655eef1adb03c4";"78310";"Wed Jul  8 23:52:39 2020"
"Gini GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"15.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fb245c9f2afb4f18";"78310";"Wed Jul  8 23:52:39 2020"
"Gini GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigung der Veröffentlichung vom 05.02.2018";"21.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8582bf8bd57334bf";"78310";"Wed Jul  8 23:52:39 2020"
"Gini GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigt am 21.09.2018";"05.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2305655f7e36127d";"78310";"Wed Jul  8 23:52:39 2020"
"Gini GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.03.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"392ccce21f096a5f";"78310";"Wed Jul  8 23:52:39 2020"
"Gini GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b22a9b61aae3763d";"78310";"Wed Jul  8 23:52:39 2020"
"GINI Musikverlag GmbH & Co. KG. Germering";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.02.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d88dbf4de59a3bdd";"78310";"Wed Jul  8 23:52:39 2020"
"GINI Musikverlag GmbH & Co. KG. Germering";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.12.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"61f2b703841f7ea7";"78310";"Wed Jul  8 23:52:39 2020"
"GINI Musikverlag GmbH & Co. KG. Germering";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.01.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"da2106b49e929779";"78310";"Wed Jul  8 23:52:39 2020"
"GINI Musikverlag GmbH & Co. KG. Germering";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"05.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ddfaa826aa8ebc40";"78310";"Wed Jul  8 23:52:39 2020"
"GINI Musikverlag GmbH & Co. KG. Germering";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.01.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"be8c16669fc57903";"78310";"Wed Jul  8 23:52:39 2020"
"GINI Musikverlag GmbH & Co. KG Germering";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"31.12.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"85dc940ffa120a5d";"78310";"Wed Jul  8 23:52:39 2020"
"GINI Musikverlag GmbH & Co. KG Germering";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"10.01.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"75c52551ad08df52";"78310";"Wed Jul  8 23:52:39 2020"
"Süd-West-Kreditbank Finanzierung GmbH Bingen am Rhein";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht nach § 26a KWG i. V. mit §§ 319 ff. SolvV Berichtigung der Veröffentlichung vom 24.06.2010";"26.01.2011";"59%";"0d747c0b2dd5781887ce3d83356491d9";"7222346e4628fd13";"78310";"Wed Jul  8 23:52:39 2020"
"Süd-West-Kreditbank Finanzierung GmbH Bingen am Rhein";"Rechnungslegung/ Finanzberichte";"» Offenlegung gemäß § 26a KWG  Berichtigt am 26.01.2011";"24.06.2010";"59%";"0d747c0b2dd5781887ce3d83356491d9";"004b8ebdd33e5bef";"78310";"Wed Jul  8 23:52:39 2020"
"Süd-West-Kreditbank Finanzierung GmbH Bingen am Rhein";"Rechnungslegung/ Finanzberichte";"» Offenlegung gemäß § 26a KWG";"18.08.2009";"59%";"0d747c0b2dd5781887ce3d83356491d9";"b7a5769948dc6994";"78310";"Wed Jul  8 23:52:39 2020"
