"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5bacb46b57c9a4b9";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"12.04.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0131f286a0ff164e";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.05.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1730430c32fba370";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"16.03.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fa8c42fe1dec3d78";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Ergänzung der Veröffentlichung vom 27.04.2015";"18.05.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ad32d8714e8867fb";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Ergänzt am 18.05.2015";"27.04.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8b659ee45d47ed46";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.08.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ccc524435ee93aec";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.12.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bf203cd06a18520d";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzung der Veröffentlichung vom 16.04.2012";"08.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e93776ab004e5fcb";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzt am 08.01.2013";"16.04.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6d93372c7789657d";"51110";"Wed Jul  8 23:14:48 2020"
"Glossa Group GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"05.10.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"633df6160e9a33d5";"51110";"Wed Jul  8 23:14:48 2020"
