"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.04.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d10c081082d7a52d";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.02.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4643eb9585e790fe";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.02.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0b7ab87d9b194476";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.02.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"59e7975d30bf3583";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"22.01.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ddb67dfbe64b308b";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"02.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"49d7cc7e27e34c7b";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"17.01.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b1332089855a4371";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"05.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"fb64e2ea4ac02664";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.02.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"80ec311f00b64da0";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"31.12.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d23df600aba87bc9";"04959";"Wed Jul  8 23:00:36 2020"
"HMW Möbel GmbH Halberstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"09.01.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"11ef31254258db01";"04959";"Wed Jul  8 23:00:36 2020"
