"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"89a7108ee58c4d9c";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1fdd54e489fae060";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"29.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"03f8a55838f7aaf1";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"36222f3c0184c6f3";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"563130af743dfae4";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"58ae13638050cb06";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0e7b47030389f36f";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"10.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"101d4edbf66705b8";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c67e34454f3e52fd";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"04.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a72989851c8d5642";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"20.10.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"de0c118a61f57f51";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"27.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fd4da603b809a558";"61909";"Wed Jul  8 22:40:42 2020"
"Heitzig Consult GmbH Brilon";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2006 bis zum 31.12.2006";"27.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6a329838cbeab4a8";"61909";"Wed Jul  8 22:40:42 2020"
