"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7ae1ed045f43b9a2";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"79c60235c4d4e560";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d6ad77c2b6f5e4ea";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"29.08.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c1cc35d7460bc13e";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"16.11.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7eccef8882a08eba";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"28.08.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4789981883ff2c89";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"17.12.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"65e43754da309334";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"02.10.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a246293dc7e8e151";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"06.09.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4a4f7c71df022828";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.10.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"47315372115c4755";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"13.10.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2bf878d721b054c3";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"26.11.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1c1f171419da9d3a";"48647";"Wed Jul  8 23:47:01 2020"
"Herbst Datentechnik GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluß zum 31. Dezember 2006";"27.02.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fbd74ec041e414c8";"48647";"Wed Jul  8 23:47:01 2020"
