"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"HETEC Limited Stuttgart";"Rechnungslegung/ Finanzberichte";"» Befreiender Jahresabschluss gem. §325 a HGB zum Geschäftsjahr vom 01.01.2018 bis zum
                                          31.12.2018";"08.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"538d8c2f9fc3bc8c";"16141";"Wed Jul  8 23:58:04 2020"
"HeTec Handytarifmakler GmbH Traunreut,  OT Stein a.d.T";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6118921009ebbaa1";"16141";"Wed Jul  8 23:58:04 2020"
"HeTec Shop GmbH Neuötting";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e261222de0a42f68";"16141";"Wed Jul  8 23:58:04 2020"
"HETEC CNC Bearbeitungs GmbH & Cie. KG Breidenbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9b467fb2d4e2e0ca";"16141";"Wed Jul  8 23:58:04 2020"
"HETEC Datensysteme GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c1f8748a835924e4";"16141";"Wed Jul  8 23:58:04 2020"
"HeTec GmbH Breidenbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fe65f18560b9a44c";"16141";"Wed Jul  8 23:58:04 2020"
"HeTec Handytarifmakler GmbH Traunreut,  OT Stein a.d.T";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cde72f47dcd6a216";"16141";"Wed Jul  8 23:58:04 2020"
"HeTec Shop GmbH Neuötting";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"24.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b3b4383096db8109";"16141";"Wed Jul  8 23:58:04 2020"
"HETEC CNC Bearbeitungs GmbH & Cie. KG Breidenbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"167686d5ddd0389d";"16141";"Wed Jul  8 23:58:04 2020"
"HETEC Datensysteme GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"03.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c8c6c71ecb0c0eec";"16141";"Wed Jul  8 23:58:04 2020"
