"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"802dbe1103e5a139";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"19.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bac9f5ebbf52ec97";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.01.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"7ef2a9a53f125108";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"15.03.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"ed63596ba3608235";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"19.02.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"b18ccaaac054e8d6";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.02.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5960c5138ad1803a";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.04.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"cd91b9af676bb660";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"28.02.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5af74a8062602beb";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.04.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"285494035f370ffa";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.12.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"1ab9ca18b276eee2";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.02.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"67945e0bca814173";"49793";"Wed Jul  8 23:01:40 2020"
"Hirsch Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"06.03.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6be579a0da4bb9f1";"49793";"Wed Jul  8 23:01:40 2020"
"HIRSCH Bremer Reinigung und Recycling GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"02.06.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"7c2660cb9d91c42f";"49793";"Wed Jul  8 23:01:40 2020"
