"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Zahn HiTex GmbH Mühldorf a. Inn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Franz Haniel & Cie. GmbH (Duisburg)";"24.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"010a3d3168028fd0";"87490";"Wed Jul  8 23:33:54 2020"
"Franz Haniel & Cie. GmbH Duisburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"14.04.2020";"0d747c0b2dd5781887ce3d83356491d9";"010a3d3168028fd0";"87490";"Wed Jul  8 23:33:54 2020";"";""
"Hitex GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.10.2018 bis zum 30.09.2019 Infineon Technologies AG (Neubiberg)";"09.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"30fd705a0b0b5a4b";"87490";"Wed Jul  8 23:33:54 2020"
"Infineon Technologies AG Neubiberg";"» Konzernabschluss zum Geschäftsjahr vom 01.10.2018 bis zum 30.09.2019";"10.12.2019";"0d747c0b2dd5781887ce3d83356491d9";"30fd705a0b0b5a4b";"87490";"Wed Jul  8 23:33:54 2020";"";""
"Zahn HiTex GmbH Mühldorf a. Inn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Franz Haniel & Cie. GmbH (Duisburg)";"14.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9da396715a9acb1c";"87490";"Wed Jul  8 23:33:54 2020"
"Franz Haniel & Cie. GmbH Duisburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.04.2019";"0d747c0b2dd5781887ce3d83356491d9";"9da396715a9acb1c";"87490";"Wed Jul  8 23:33:54 2020";"";""
"Hitex GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.10.2017 bis zum 30.09.2018 Infineon Technologies AG (Neubiberg)";"27.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b319eb98924aad56";"87490";"Wed Jul  8 23:33:54 2020"
"Infineon Technologies AG Neubiberg";"» Konzernabschluss zum Geschäftsjahr vom 01.10.2017 bis zum 30.09.2018";"17.12.2018";"0d747c0b2dd5781887ce3d83356491d9";"b319eb98924aad56";"87490";"Wed Jul  8 23:33:54 2020";"";""
"Zahn HiTex GmbH Mühldorf a. Inn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Franz Haniel & Cie. GmbH (Duisburg)";"29.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"23c78ed7e15e935e";"87490";"Wed Jul  8 23:33:54 2020"
"Franz Haniel & Cie. GmbH Duisburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.04.2018";"0d747c0b2dd5781887ce3d83356491d9";"23c78ed7e15e935e";"87490";"Wed Jul  8 23:33:54 2020";"";""
"Hitex GmbH (vormals: Hitex Development Tools GmbH) Karlsruhe";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.10.2016 bis zum 30.09.2017 Infineon Technologies AG (Neubiberg)";"24.10.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4d3e9591025bd917";"87490";"Wed Jul  8 23:33:54 2020"
"Infineon Technologies AG Neubiberg";"» Konzernabschluss zum Geschäftsjahr vom 01.10.2016 bis zum 30.09.2017";"02.03.2018";"0d747c0b2dd5781887ce3d83356491d9";"4d3e9591025bd917";"87490";"Wed Jul  8 23:33:54 2020";"";""
"Zahn HiTex GmbH Mühldorf a. Inn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Franz Haniel & Cie. GmbH (Duisburg)";"03.03.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ad2936a99c8df079";"87490";"Wed Jul  8 23:33:54 2020"
"Franz Haniel & Cie. GmbH Duisburg-Ruhrort";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"28.04.2017";"0d747c0b2dd5781887ce3d83356491d9";"ad2936a99c8df079";"87490";"Wed Jul  8 23:33:54 2020";"";""
