"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Otto Bade Gesellschaft mit beschränkter Haftung vorm. Wilh. Huth Tostedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"25.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e274313d01925a85";"84997";"Thu Jul  9 00:07:54 2020"
"Hans Huth & Söhne GmbH & Co. KG Bremerhaven";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"18.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4a7fcd6015cc2c86";"84997";"Thu Jul  9 00:07:54 2020"
"HUTH Metallbau GmbH Bremerhaven";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"25.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"41bbeb2c416d895d";"84997";"Thu Jul  9 00:07:54 2020"
"HUTH Zaun + Torsysteme GmbH Bremerhaven";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"25.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"32f060a8af1def1c";"84997";"Thu Jul  9 00:07:54 2020"
"Huth GmbH Gelnhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"13.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a21e1a3d18fc707d";"84997";"Thu Jul  9 00:07:54 2020"
"Autohaus Huth GmbH Lohr a. Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"22.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"048672f9709273be";"84997";"Thu Jul  9 00:07:54 2020"
"Hans Huth & Söhne GmbH & Co. KG Bremerhaven";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigung der Veröffentlichung vom 04.06.2019";"21.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a97f8db3b7ac74a1";"84997";"Thu Jul  9 00:07:54 2020"
"Dr. Klaus-D. Huth Immobilien Verwaltung GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"367860889c612e62";"84997";"Thu Jul  9 00:07:54 2020"
"Huth Unternehmensberatung GmbH Baden-Baden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0cc128e1db9d3054";"84997";"Thu Jul  9 00:07:54 2020"
"Dr. Klaus-D. Huth Immobilien GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"777216c97ad9d434";"84997";"Thu Jul  9 00:07:54 2020"
