"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a0a626fa46e26c6c";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9f93639eab4c72f5";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"12.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"81be373195e01c95";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"16.02.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"acb1bbff178bb885";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7ddb8dd97b441335";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"76ca5887eb4ead2a";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.04.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c0d65d47be6cdf4b";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.10.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dcfe53bd81ff73b5";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"17.11.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"79277ae12a118030";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"25.10.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c223c1471a26f4ba";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"16.02.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"acb87471da72baf3";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"07.10.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"01a0c5a0b951c391";"99194";"Wed Jul  8 23:02:50 2020"
"Hörmann-Reisen GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"25.03.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"45b9b68bb5ad487d";"99194";"Wed Jul  8 23:02:50 2020"
