"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31.08.2019";"16.12.2019";"40%";"0d747c0b2dd5781887ce3d83356491d9";"e6a8d2aa7df34b26";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"22.10.2019";"40%";"0d747c0b2dd5781887ce3d83356491d9";"9b09ae8ead5f5676";"49207";"Thu Jul  9 00:00:13 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2018";"06.11.2018";"40%";"0d747c0b2dd5781887ce3d83356491d9";"04a5916ef6fa393f";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Halbjahresfinanzbericht zum 30 Juni 2018";"12.10.2018";"40%";"0d747c0b2dd5781887ce3d83356491d9";"284c7e5b96cbaba0";"49207";"Thu Jul  9 00:00:13 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2017";"08.11.2017";"37%";"0d747c0b2dd5781887ce3d83356491d9";"07e024afd7429e98";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Halbjahresfinanzbericht zum 30 Juni 2017";"05.10.2017";"37%";"0d747c0b2dd5781887ce3d83356491d9";"9853cb84502c2e83";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum  30. Juni 2016";"26.09.2016";"37%";"0d747c0b2dd5781887ce3d83356491d9";"9d2e05b03e4fe946";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"13.09.2016";"37%";"0d747c0b2dd5781887ce3d83356491d9";"1eb1ac2d1f68b753";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"37%";"0d747c0b2dd5781887ce3d83356491d9";"972e6729f203deb9";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2014";"08.09.2014";"37%";"0d747c0b2dd5781887ce3d83356491d9";"0f9a695cccf6d7dd";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2014";"05.09.2014";"37%";"0d747c0b2dd5781887ce3d83356491d9";"bb549a7aa6d5f9cd";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2013";"16.09.2013";"37%";"0d747c0b2dd5781887ce3d83356491d9";"d6c4c7ea876f50dc";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2012";"17.09.2012";"37%";"0d747c0b2dd5781887ce3d83356491d9";"d72a79367eed55aa";"49207";"Thu Jul  9 00:00:13 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011";"19.09.2011";"37%";"0d747c0b2dd5781887ce3d83356491d9";"2b4b829d099505ba";"49207";"Thu Jul  9 00:00:13 2020"
"Beta Systems Software AG Berlin";"Rechnungslegung/ Finanzberichte";"» Quartalsbericht über das 1. Quartal 2007";"02.07.2007";"37%";"0d747c0b2dd5781887ce3d83356491d9";"191f8ebbd3e77bcf";"49207";"Thu Jul  9 00:00:13 2020"
"Otto (GmbH & Co KG) Hamburg";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.03.2018 bis zum 28.02.2019";"15.08.2019";"33%";"0d747c0b2dd5781887ce3d83356491d9";"84056a5bf93cb169";"49207";"Thu Jul  9 00:00:13 2020"
"ambria GmbH, Neumarkt i.d.OPf.; Argus Inkasso GmbH, Kamp-Lintfort; ARTHUR Holding GmbH, Hamburg; Balata Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG, Mainz; baumarkt direkt GmbH & Co KG, Hamburg; Baur-Immobilien-Verwaltungs-GmbH, Hamburg; Baur Versand (GmbH & Co KG), Burgkunstadt; BFS Baur Fulfillment Solutions GmbH, Burgkunstadt; B.I.G. Baur-Immobilien-GmbH & Co. KG, Burgkunstadt; bonprix Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; bonprix Handelsgesellschaft mbH, Hamburg; bonprix retail GmbH, Hamburg; Boreal Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG, Mainz; BVB Beteiligungs- und Verwaltungs-GmbH, Burgkunstadt; CINTHIA Real Estate GmbH, Monheim am Rhein; Collins GmbH & Co. KG, Hamburg; creation L Handelsgesellschaft mbH, Regensburg; Credinvest 3 Finance GmbH, Hamburg; empiriecom GmbH & Co. KG, Burgkunstadt; EOS Communication Center Nürnberg GmbH, Nürnberg; EOS Deutscher Inkasso-Dienst GmbH, Hamburg; EOS Deutschland GmbH, Hamburg; EOS Field Services GmbH, Hamburg; EOS Finance GmbH, Hamburg; EOS Health IT-Concept GmbH, Hamburg; EOS Holding GmbH, Hamburg; EOS Immobilienworkout GmbH, Mülheim an der Ruhr; EOS International Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; EOS Investment CEE GmbH, Hamburg; EOS Investment GmbH, Hamburg; EOS Investment HR GmbH, Hamburg; EOS Investment Poland GmbH, Hamburg; EOS Investment RO GmbH, Hamburg; EOS KSI Inkasso Deutschland GmbH, Bad Rappenau; EOS Securitisation GmbH, Hamburg; EOS Serviceline GmbH, Hamburg; EOS Technology Solutions GmbH, Hamburg; EOS Verbriefungsspezialgesellschaft mbH, Hamburg; eVenture Beteiligungs- Verwaltungsgesellschaft mbH, Hamburg; eVenture Fonds 2 GmbH & Co. KG, Hamburg; FEGRO-Markt Eschborn,Verwaltungs GmbH, Hamburg; Frankfurter Inkasso Gesellschaft mit beschränkter Haftung, Potsdam; Frankonia Handels GmbH & Co. KG, Rottendorf; Frankonia Verwaltungs GmbH, Rottendorf; GPI - Gesellschaft für Grundbesitzmanagement mbH & Co. Kommanditgesellschaft, Mülheim an der Ruhr; hagebau connect Service GmbH & Co. KG, Hamburg; Hanseatic Versicherungs-Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; Hanseatic Versicherungsdienst GmbH Versicherungsvermittlung, Hamburg; Heinrich Heine Beteiligungs GmbH, Karlsruhe; Heinrich Heine GmbH, Karlsruhe; Heinrich Heine Grundstücks-Beteiligungs GmbH & Co. KG, Hamburg; HERMES Einrichtungs Service GmbH & Co. KG, Hamburg; Hermes Europe GmbH, Hamburg; Hermes Fulfilment GmbH, Hamburg; Hermes General Service Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; Hermes Germany GmbH, Hamburg; H.I.S Textil GmbH, Hamburg; Josef Witt GmbH, Weiden i.d.OPf.; Kommanditgesellschaft SCHWAB Grundstücks-Verwaltungs GmbH & Co., Hamburg; Kommanditgesellschaft SSU Grundstücks-Verwaltungs GmbH & Co., Hamburg; Küche & Co GmbH, Hamburg; Lascana Handelsgesellschaft mbH, Hamburg; MEDIA Handelsgesellschaft mbH, Hamburg; Menos-Grundstücksholding GmbH, Burgkunstadt; MTI Verwaltungs GmbH, Hamburg; octobo GmbH, Weismain; OFFICE PLANET GmbH, Hamburg; OTTO-ASIA Beteiligungs-Verwaltungs GmbH, Hamburg; OTTO AUSTRIA Grundstücksverwaltungs GmbH, Hamburg; Otto Brasilien Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; OTTO-CHEER Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; OTTO-EUROPE Beteiligungs-Verwaltungs GmbH, Hamburg; Otto Finance Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; Otto Finanzplus GmbH Versicherungsvermittlung, Hamburg; Otto (GmbH & Co KG), Hamburg; Otto Group Solution Provider (OSP) GmbH, Dresden; Otto International GmbH, Hamburg; Otto Paper & Print GmbH, Hamburg; Otto Personal Systeme GmbH, Hamburg; Otto Russland Beteiligungs- und Verwaltungsgesellschaft mbH, Hamburg; OVC Venture Capital GmbH, Hamburg; P+L Services GmbH, Mülheim an der Ruhr; Prüfinstitut HANSECONTROL GmbH, Hamburg; RAINBOW  Versandhandelsgesellschaft mbH, Hanau; SCHWAB Grundstücks-Verwaltungs GmbH, Hamburg; shopping 24 Gesellschaft für multimediale Anwendungen mbH, Hamburg; Sieh an! Handelsgesellschaft mbH, Amberg; SportScheck GmbH, München; Systain Consulting GmbH, Hamburg; TT - Service und Beteiligungs-Verwaltungs GmbH, Hanau; Verwaltungsgesellschaft Baur Versand mbH, Burgkunstadt; Verwaltungsgesellschaft HERMES Einrichtungs Service mbH, Hamburg; WVZ Warenverteilzentrum Manteler Forst Grundstücks-Verwaltungs-GmbH & Co. KG., Mainz; WW WITT-Weiden Grundstücks-Verwaltungs GmbH & Co KG, Hamburg; Zweite HERMES TranStore Service GmbH & Co. KG, Burgkunstadt; Zweite HERMES TranStore Service Verwaltungsgesellschaft mbH, Burgkunstadt";"Thu Jul  9 00:00:13 2020";"";"";"";"";"";"";""
"Otto (GmbH & Co KG) Hamburg";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.03.2017 bis zum 28.02.2018";"15.11.2018";"33%";"0d747c0b2dd5781887ce3d83356491d9";"9e79f63b33319668";"49207";"Thu Jul  9 00:00:13 2020"
"ambria GmbH, Neumarkt i.d.OPf.; Argus Inkasso GmbH, Kamp-Lintfort; ARTHUR Holding GmbH, Hamburg; Balata Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG, Mainz; baumarkt direkt GmbH & Co KG, Hamburg; Baur-Immobilien-Verwaltungs-GmbH, Hamburg; Baur Versand (GmbH & Co KG), Burgkunstadt; BFS Baur Fulfillment Solutions GmbH, Burgkunstadt; B.I.G. Baur-Immobilien-GmbH & Co. KG, Burgkunstadt; bonprix Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; bonprix Handelsgesellschaft mbH, Hamburg; bonprix retail GmbH, Hamburg; Boreal Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG, Mainz; BVB Beteiligungs- und Verwaltungs-GmbH, Burgkunstadt; Collins GmbH & Co. KG, Hamburg; creation L Handelsgesellschaft mbH, Regensburg; Credinvest 3 Finance GmbH, Hamburg; empiriecom GmbH & Co. KG, Burgkunstadt; EOS Communication Center Nürnberg GmbH, Nürnberg; EOS Deutscher Inkasso-Dienst GmbH, Hamburg; EOS Deutschland GmbH, Hamburg; EOS Field Services GmbH, Hamburg; EOS Finance GmbH, Hamburg; EOS Holding GmbH, Hamburg; EOS Immobilienworkout GmbH, Mülheim an der Ruhr; EOS International Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; EOS Investment CEE GmbH, Hamburg; EOS Investment GmbH, Hamburg; EOS Investment HR GmbH, Hamburg; EOS Investment Poland GmbH, Hamburg; EOS Investment RO GmbH, Hamburg; EOS KSI Inkasso Deutschland GmbH, Bad Rappenau; EOS Securitisation GmbH, Hamburg; EOS Serviceline GmbH, Hamburg; EOS Technology Solutions GmbH, Hamburg; EOS Verbriefungsspezialgesellschaft mbH, Hamburg; eVenture Beteiligungs- Verwaltungsgesellschaft mbH, Hamburg; eVenture Fonds 1 GmbH & Co KG, Hamburg; eVenture Fonds 2 GmbH & Co. KG, Hamburg; FEGRO-Markt Eschborn,Verwaltungs GmbH, Hamburg; Frankfurter Inkasso Gesellschaft mit beschränkter Haftung, Potsdam; Frankonia Handels GmbH & Co. KG, Rottendorf; Frankonia Verwaltungs GmbH, Rottendorf; Hanseatic Versicherungs-Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; Hanseatic Versicherungsdienst GmbH Versicherungsvermittlung, Hamburg; Heinrich Heine Beteiligungs GmbH, Karlsruhe; Heinrich Heine GmbH, Karlsruhe; Heinrich Heine Grundstücks-Beteiligungs GmbH & Co. KG, Hamburg; HERMES Einrichtungs Service GmbH & Co. KG, Hamburg; Hermes Europe GmbH, Hamburg; Hermes Fulfilment GmbH, Hamburg; Hermes General Service Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; Hermes Germany GmbH, Hamburg; H.I.S Textil GmbH, Hamburg; Josef Witt GmbH, Weiden i.d.OPf.; Kommanditgesellschaft SCHWAB Grundstücks-Verwaltungs GmbH & Co., Hamburg; Kommanditgesellschaft SSU Grundstücks-Verwaltungs GmbH & Co., Hamburg; Küche & Co GmbH, Hamburg; Lascana Handelsgesellschaft mbH, Hamburg; MEDIA Handelsgesellschaft mbH, Hamburg; Menos-Grundstücksholding GmbH, Burgkunstadt; MTI Verwaltungs GmbH, Hamburg; octobo GmbH, Weismain; OFFICE PLANET GmbH, Hamburg; OTTO-ASIA Beteiligungs-Verwaltungs GmbH, Hamburg; OTTO AUSTRIA Grundstücksverwaltungs GmbH, Hamburg; Otto Brasilien Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; OTTO-CHEER Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; OTTO-EUROPE Beteiligungs-Verwaltungs GmbH, Hamburg; Otto Finance Beteiligungs-Verwaltungsgesellschaft mbH, Hamburg; Otto Finanzplus GmbH Versicherungsvermittlung, Hamburg; Otto (GmbH & Co KG), Hamburg; Otto Group Solution Provider (OSP) GmbH, Dresden; Otto International GmbH, Hamburg; Otto Paper & Print GmbH, Hamburg; Otto Personal Systeme GmbH, Hamburg; Otto Russland Beteiligungs- und Verwaltungsgesellschaft mbH, Hamburg; OVC Venture Capital GmbH, Hamburg; P+L Services GmbH, Mülheim an der Ruhr; Prüfinstitut HANSECONTROL GmbH, Hamburg; RAINBOW  Versandhandelsgesellschaft mbH, Hanau; SCHWAB Grundstücks-Verwaltungs GmbH, Hamburg; shopping 24 Gesellschaft für multimediale Anwendungen mbH, Hamburg; Sieh an! Handelsgesellschaft mbH, Amberg; SportScheck GmbH, München; Systain Consulting GmbH, Hamburg; TT - Service und Beteiligungs-Verwaltungs GmbH, Hanau; Verwaltungsgesellschaft Baur Versand mbH, Burgkunstadt; Verwaltungsgesellschaft HERMES Einrichtungs Service mbH, Hamburg; WVZ Warenverteilzentrum Manteler Forst Grundstücks-Verwaltungs-GmbH & Co. KG., Mainz; WW WITT-Weiden Grundstücks-Verwaltungs GmbH & Co KG, Hamburg; Zweite HERMES TranStore Service GmbH & Co. KG, Burgkunstadt; Zweite HERMES TranStore Service Verwaltungsgesellschaft mbH, Burgkunstadt";"Thu Jul  9 00:00:13 2020";"";"";"";"";"";"";""
"Otto (GmbH & Co KG) Hamburg";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.03.2016 bis zum 28.02.2017";"14.08.2017";"30%";"0d747c0b2dd5781887ce3d83356491d9";"cbf15a4b90af5f48";"49207";"Thu Jul  9 00:00:13 2020"
