"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.03.2020";"96%";"0d747c0b2dd5781887ce3d83356491d9";"b10206b18bfc19d2";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.02.2019";"96%";"0d747c0b2dd5781887ce3d83356491d9";"ecd7af75e9827ad6";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4925900f3dd34a43";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.12.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8d3a8bf20388d889";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"201e8ec62b23929a";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"28.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"da9bf3468e6ec677";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cb144f456777b579";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1c961231d8e49fca";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.08.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"811b3565c1165930";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"09.11.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d7172e487c1ac84b";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.09.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dd75fed53516fbf5";"64324";"Wed Jul  8 23:01:59 2020"
"I.S.A.A.R. GmbH Unternehmen für Personalservice GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"23.12.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2efac55bf74f8524";"64324";"Wed Jul  8 23:01:59 2020"
