"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"95f6ccee7cfa019a";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f63f2eafa8c615bd";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.08.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"047fb06d753e4934";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0e49e1f1251674bb";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"37022da7e7c19ee4";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c9026fa5a77521c1";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"23.01.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"45d957f56dae2d5e";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f3c8c095debd8fb0";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.02.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"bb6a6eb3a1866e6b";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"23.12.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"89386ef3ac652c95";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.12.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9b008b40d1f0c3ad";"72853";"Wed Jul  8 23:32:17 2020"
"IDKOM AG Kempten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"18.12.2007";"92%";"0d747c0b2dd5781887ce3d83356491d9";"58265216f966c21e";"72853";"Wed Jul  8 23:32:17 2020"
