"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"IGR Immobilien- und Grundbesitzverwaltung Rhein Ruhr Zweite GmbH Castrop-Rauxel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"23.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2e4c1400042bea18";"76773";"Wed Jul  8 23:12:01 2020"
"IGR - Gemeinnützige Infrastrukturgesellschaft Rennsteig mbH Suhl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"65880e5161dcee20";"76773";"Wed Jul  8 23:12:01 2020"
"IGR GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b0c6e0f0ce105b41";"76773";"Wed Jul  8 23:12:01 2020"
"IGR Industrie und Gebäude Reinigungsservices Gesellschaft mit beschränkter Haftung Gifhorn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"040e11884857ac83";"76773";"Wed Jul  8 23:12:01 2020"
"IGR Institut für Glas- und Rohstofftechnologie GmbH Göttingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"61030236aab1bc49";"76773";"Wed Jul  8 23:12:01 2020"
"IGR Ingenieurgesellschaft mbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0c883e78f36cb0d5";"76773";"Wed Jul  8 23:12:01 2020"
"IGR Germany GmbH Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6ffed3e0837b7dfb";"76773";"Wed Jul  8 23:12:01 2020"
"IGR Immobilien- und Grundbesitzverwaltung Rhein Ruhr Zweite GmbH Castrop-Rauxel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"29.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4c575539da5d94be";"76773";"Wed Jul  8 23:12:01 2020"
"C. Deichen Verwaltungs GmbH (vormals: IGR Deichen,  Wendorff & Partner GmbH) Sassnitz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2fe9e2f497f43e35";"76773";"Wed Jul  8 23:12:01 2020"
"IGR-Gesellschaft für Wohn- und Gewerbebau mbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"350a95d1c23abe48";"76773";"Wed Jul  8 23:12:01 2020"
"IGR Germany GmbH Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a92efba9b2b2afca";"76773";"Wed Jul  8 23:12:01 2020"
"IGR Industrie und Gebäude Reinigungsservices Gesellschaft mit beschränkter Haftung Gifhorn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"06e99a400ae3a2c4";"76773";"Wed Jul  8 23:12:01 2020"
