"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"df50ce941957d7b5";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"01.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"080276b6c36289fc";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"06e7da70be845721";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e612eba89a20aa4f";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.02.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d8fe8149afc076b5";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8ed7b914cc77ac0f";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"05a0ca16bb8421bf";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"05.02.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5597637a8187ab7d";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"39d5d5df77b48f2b";"19389";"Wed Jul  8 22:54:29 2020"
"INS-Industrielle Netzwerk-Systeme GmbH Friedrichsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"12.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"779c0df2b461a493";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"11.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"49214eac62f0dd31";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"20.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8a4b35c6613f864e";"19389";"Wed Jul  8 22:54:29 2020"
"INS-Industrielle Netzwerk-Systeme GmbH Friedrichsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1f5a073eedd2e199";"19389";"Wed Jul  8 22:54:29 2020"
"INS-Industrielle Netzwerk-Systeme GmbH Friedrichsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"16.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a08fabbd3c1ed8d2";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"12.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"15434e468a4b1494";"19389";"Wed Jul  8 22:54:29 2020"
"INS Systems GmbH Oberursel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"25.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1f3a232df8e61212";"19389";"Wed Jul  8 22:54:29 2020"
"VOSTER HYDRODRIVE GmbH Hydraulische Systeme,  RA Dr. Junker als InsV Dresden";"Rechnungslegung/ Finanzberichte";"» VOSTER HYDRODRIVE GmbH Hydraulische Systeme Jahresabschluss zum 31. Dezember 2006";"15.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f4db420292eb9b91";"19389";"Wed Jul  8 22:54:29 2020"
