"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"22.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ee82d84f7318358c";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f59724813d69287d";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"131e4ed2add09b6d";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.09.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"678cf6f0d29210f0";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.06.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"fd1655136e35161b";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"07.05.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"72f8d1115bc9adfd";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"03.09.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"4b7c473dc3321abe";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"22.10.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"3d22944a1849fd3a";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.11.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"aa9abeb7264b37e2";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"14.10.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"1d206d63c6758c1b";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.08.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"9b56fb25ef5aeeaf";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"26.08.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"f278ba5d37fd62ad";"91447";"Wed Jul  8 23:53:47 2020"
"ISB Information und Kommunikation GmbH & Co. KG Büren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"28.09.2007";"99%";"0d747c0b2dd5781887ce3d83356491d9";"78e7d6bd0a7f365d";"91447";"Wed Jul  8 23:53:47 2020"
