"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ITK Deutschland GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a7095e3f917cb9ce";"98004";"Wed Jul  8 23:19:25 2020"
"ITK Deutschland GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a202281d70ea9bef";"98004";"Wed Jul  8 23:19:25 2020"
"ITK Deutschland GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2f231ee7473315ef";"98004";"Wed Jul  8 23:19:25 2020"
"ITK Deutschland GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"08.06.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"52afdf1e1855fdac";"98004";"Wed Jul  8 23:19:25 2020"
"ITK Deutschland GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"27.04.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c82adf74fd797249";"98004";"Wed Jul  8 23:19:25 2020"
"ITK Deutschland GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 02.09.2013 bis zum 31.12.2013";"13.08.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dda3245c5763118e";"98004";"Wed Jul  8 23:19:25 2020"
"GFT Technologies SE Stuttgart";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"19.08.2019";"10%";"0d747c0b2dd5781887ce3d83356491d9";"b8e64578d3dcf659";"98004";"Wed Jul  8 23:19:25 2020"
"Synaxon AG Bielefeld";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30.09.2010";"21.01.2011";"5%";"0d747c0b2dd5781887ce3d83356491d9";"a8849543277b3aa4";"98004";"Wed Jul  8 23:19:25 2020"
"Wien";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"13.10.2010";"5%";"0d747c0b2dd5781887ce3d83356491d9";"3665024eaf6ca951";"98004";"Wed Jul  8 23:19:25 2020"
"PC-Ware Information Technologies AG Leipzig";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"11.03.2010";"5%";"0d747c0b2dd5781887ce3d83356491d9";"00eb7c2f52925ea8";"98004";"Wed Jul  8 23:19:25 2020"
"Plaut Aktiengesellschaft Wien";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"24.08.2009";"5%";"0d747c0b2dd5781887ce3d83356491d9";"a90ca5bb5e5771bd";"98004";"Wed Jul  8 23:19:25 2020"
"REALTECH AG Walldorf";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30.09.2008";"03.03.2009";"5%";"0d747c0b2dd5781887ce3d83356491d9";"6e113d9e3573e301";"98004";"Wed Jul  8 23:19:25 2020"
"INTERSHOP Communications AG Jena";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht über die ersten sechs Monate 20071. Januar bis 30. Juni 2007 –";"22.08.2007";"5%";"0d747c0b2dd5781887ce3d83356491d9";"15f10431ffc92a09";"98004";"Wed Jul  8 23:19:25 2020"
