"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f28799b8b9fd4d5b";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"36ad9423dfba3339";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"23.06.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"11bd933366f055a3";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.06.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"7d1297159d35553e";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.10.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c3e09df4cb5d6092";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.07.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"bdb8917b7c7b0e5f";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.01.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"892cb8b470a6649c";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.01.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"49fbef623da2a314";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.12.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"2613b4d228eb86ed";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"05.01.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"b8094b21c38e793b";"45500";"Wed Jul  8 23:40:29 2020"
"ITM Systems GmbH & Co. KG Gescher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"17.02.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"73da2b9d4e6639d9";"45500";"Wed Jul  8 23:40:29 2020"
"Stadtsparkasse Emmerich-Rees - Verbandssparkasse der Städte Emmerich und Rees - Emmerich am Rhein";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht nach § 26 a KWG und §§ 319 ff. Solvabilitätsverordnung (SolvV)
                                          zum Geschäftsjahr 2011";"17.09.2012";"3%";"0d747c0b2dd5781887ce3d83356491d9";"d7a29118f5bc8619";"45500";"Wed Jul  8 23:40:29 2020"
"Stadtsparkasse Emmerich-Rees - Verbandssparkasse der Städte Emmerich und Rees - Emmerich am Rhein";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht nach § 26a KWG  zum 31.12.2010";"02.08.2011";"3%";"0d747c0b2dd5781887ce3d83356491d9";"6f8a2d375255bf7f";"45500";"Wed Jul  8 23:40:29 2020"
"Stadtsparkasse Emmerich-Rees - Verbandssparkasse der Städte Emmerich und Rees - Emmerich am Rhein";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht zum 31. Dezember 2008 nach § 26a KWG i. V. mit §§ 319 ff. SolvV";"11.11.2009";"3%";"0d747c0b2dd5781887ce3d83356491d9";"e0032517e726d458";"45500";"Wed Jul  8 23:40:29 2020"
