"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ITR Service GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2017 bis zum 31.05.2018";"23.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e313c99c7016b1cc";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2016 bis zum 31.05.2017";"27.04.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6af30afe11927784";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2015 bis zum 31.05.2016";"05.05.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0bd26c328c329469";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2014 bis zum 31.05.2015";"25.05.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"081a5545cc97514b";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2013 bis zum 31.05.2014";"10.08.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8a0427526461f8fe";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2012 bis zum 31.05.2013";"15.09.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8778f953b112f7a0";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH & Co. KG. Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.12.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ed481eb6dcff88b8";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.12.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"61fd919d39dbe3e1";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2011 bis zum 31.05.2012";"03.06.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"22d1287b0c0f06e8";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cbe199b8ca78fdbd";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH & Co. KG. Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0513ae94446a7b45";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2010 bis zum 31.05.2011";"14.08.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6ecf69f95f402c17";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH & Co. KG. Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3a69a3604fcf613a";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5c3b1c8e68f1d3ff";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2009 bis zum 31.05.2010";"31.05.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3cc6aa3bfc6740d2";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"41f2300beec4b62f";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH & Co. KG. Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"28.12.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b6c01e0ad97ced57";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"09.04.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d87405d0fa758170";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH & Co. KG. Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"09.04.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"118cd6f0416a1920";"83840";"Wed Jul  8 23:53:59 2020"
"ITR Service GmbH & Co. KG. Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"22.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a1bca1f437dfc25f";"83840";"Wed Jul  8 23:53:59 2020"
