"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ITS Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e71172d6b069896d";"19782";"Thu Jul  9 00:16:46 2020"
"ITS Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7307d6dbc41cc8fc";"19782";"Thu Jul  9 00:16:46 2020"
"ITS Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.09.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f4dafe0600df6ee8";"19782";"Thu Jul  9 00:16:46 2020"
"ITS Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"22.12.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e4d7e62b26d56e0f";"19782";"Thu Jul  9 00:16:46 2020"
"ITS Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"10.11.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b213a566c941d31d";"19782";"Thu Jul  9 00:16:46 2020"
"ITS Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"08.01.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"10110dd082324a83";"19782";"Thu Jul  9 00:16:46 2020"
"ITS Informationstechnik Service GmbH (vormals: ITS Consult GmbH) Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"24.09.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"86e62fe8475eee14";"19782";"Thu Jul  9 00:16:46 2020"
"ITS  Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.10.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ed988869eb730677";"19782";"Thu Jul  9 00:16:46 2020"
"ITS  Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"08.12.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"87014e1dd48d9ae0";"19782";"Thu Jul  9 00:16:46 2020"
"ITS  Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.12.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"cd2907bd5ea3bbd5";"19782";"Thu Jul  9 00:16:46 2020"
"ITS  Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"11.01.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"2cd9163f8d330631";"19782";"Thu Jul  9 00:16:46 2020"
"ITS Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2007";"18.11.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3c29f1ce0043b426";"19782";"Thu Jul  9 00:16:46 2020"
"ITS Informationstechnik Service GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"11.12.2007";"97%";"0d747c0b2dd5781887ce3d83356491d9";"45f7d4ea35e8898b";"19782";"Thu Jul  9 00:16:46 2020"
