"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c9e5cc668cd33bd4";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"72cb4e6b78ae48af";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"01.06.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"af8cce86d146661c";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"1fe6c4645d3e4c52";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.02.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5c4e6aba82d4e5b6";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"28.01.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"07d7d5074a3cfb76";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.03.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"14b0b95605f097c9";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.12.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c8af919e58de5ed7";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.12.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"44369559f73e4a12";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"29.12.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"9ae90c44606deb6f";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"14.12.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"b51c4e374d93c633";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"06.01.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"a3f34c0cbdc92b57";"76903";"Wed Jul  8 23:43:46 2020"
"ITZ Informationstechnologie-Zentrum Rhein/Maas GmbH Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"06.03.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"ff837b99bcadaecd";"76903";"Wed Jul  8 23:43:46 2020"
