"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"IWS Security GmbH Aschaffenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"109c8f86a6fbb6b2";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Aschaffenburg (vormals: Frankfurt am Main)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"38edac76fbc56c61";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"16.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"737dc5265ff5d620";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.02.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e80607b27338c22a";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"06.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fae2123f69d08f94";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.12.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"39dacf40aa94533f";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c1d2844a25a8232a";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a16bf9a4e9b7caa6";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"25.11.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"43aa3436b9d39cf7";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"05.11.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ee55d53bb2feeec6";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"11.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dab01065476dc0f9";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"09.12.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"69ab8a73143188bf";"65774";"Wed Jul  8 22:25:26 2020"
"IWS Security GmbH Frankfurt a. Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"18.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"86b4339f60089556";"65774";"Wed Jul  8 22:25:26 2020"
