"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6c67eec040123e71";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2b6edf49c29d8884";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.07.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"d09b336819edb83e";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"16.01.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"fbe417800a215e77";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"02.10.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"d66157afdf1c4376";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.06.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"ba543d18956ad22f";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"30.08.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"3d2ffd66a64a5b76";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.12.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"57edccae90f2e646";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"18.07.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"c28a144d8b386130";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.09.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"c4acada60b908540";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"16.10.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"fa59f32ef92d44fe";"80660";"Wed Jul  8 23:24:22 2020"
"Industriemontagen van der Heusen GmbH & Co KG OBERHAUSEN";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"30.09.2008";"99%";"0d747c0b2dd5781887ce3d83356491d9";"eb3aecb7d92ce6a3";"80660";"Wed Jul  8 23:24:22 2020"
