"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f64670e21ff3fd1d";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"30fd117fafb74372";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.01.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0784b68adcbb0852";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"56ed24f0ba3be140";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e16c3759ce6bb9e7";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c6f3768580c677bc";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"27.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"af4b4f0215a7030e";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"80e8cd83d560632f";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"24.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"521665190dda4fe9";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f6e221e000dbd94d";"39309";"Thu Jul  9 00:14:06 2020"
"Inspire Technologies GmbH St. Georgen im Schwarzwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"11.02.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"61dc30400a116139";"39309";"Thu Jul  9 00:14:06 2020"
"SGL Carbon SE Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2017";"22.05.2018";"5%";"0d747c0b2dd5781887ce3d83356491d9";"a8e6e0948b5f90b5";"39309";"Thu Jul  9 00:14:06 2020"
