"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Progress-Werk Oberkirch Aktiengesellschaft Oberkirch";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht für das Geschäftsjahr vom 01.01.2008 bis zum 30.09.2008";"09.03.2009";"30%";"0d747c0b2dd5781887ce3d83356491d9";"875f35fc0cb296fb";"20205";"Wed Jul  8 22:50:03 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 30. September 2018";"04.01.2019";"20%";"0d747c0b2dd5781887ce3d83356491d9";"f881c5a654e9681d";"20205";"Wed Jul  8 22:50:03 2020"
"thyssenkrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30.06.2018";"29.08.2018";"20%";"0d747c0b2dd5781887ce3d83356491d9";"745a12acf1dc85b1";"20205";"Wed Jul  8 22:50:03 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern-Halbjahresbericht zum 30. Juni 2018";"27.07.2018";"20%";"0d747c0b2dd5781887ce3d83356491d9";"9bb8b54db7f685a5";"20205";"Wed Jul  8 22:50:03 2020"
"Sparda-Bank Südwest eG Mainz";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"19.07.2018";"20%";"0d747c0b2dd5781887ce3d83356491d9";"1b89353ac39933d9";"20205";"Wed Jul  8 22:50:03 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 31. März 2018";"03.05.2018";"10%";"0d747c0b2dd5781887ce3d83356491d9";"8e7a8c9a84984fab";"20205";"Wed Jul  8 22:50:03 2020"
"niiio finance group AG  (vormals: Meridio Vermögensverwaltung AG) Köln";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"08.01.2018";"10%";"0d747c0b2dd5781887ce3d83356491d9";"7c3c3b201c8e47e6";"20205";"Wed Jul  8 22:50:03 2020"
"Decheng Technology AG Köln";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"05.10.2017";"10%";"0d747c0b2dd5781887ce3d83356491d9";"3dec08234451397c";"20205";"Wed Jul  8 22:50:03 2020"
"ThyssenKrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. Dezember 2014";"27.05.2015";"10%";"0d747c0b2dd5781887ce3d83356491d9";"ca7643ec12393965";"20205";"Wed Jul  8 22:50:03 2020"
"ThyssenKrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht 9 Monate 2013/2014 vom 01. Oktober 2013 bis 30. Juni 2014";"05.09.2014";"10%";"0d747c0b2dd5781887ce3d83356491d9";"c5fdc02457b8e54d";"20205";"Wed Jul  8 22:50:03 2020"
"ThyssenKrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. März 2014";"01.09.2014";"10%";"0d747c0b2dd5781887ce3d83356491d9";"3b1ffdee7405c2eb";"20205";"Wed Jul  8 22:50:03 2020"
"ThyssenKrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» 
                                          Quartalsfinanzbericht zum 31. Dezember 2013";"24.02.2014";"10%";"0d747c0b2dd5781887ce3d83356491d9";"eb60a10ccfa8aca5";"20205";"Wed Jul  8 22:50:03 2020"
"ThyssenKrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht  vom 01. Oktober 2012 bis 30. Juni 2013";"16.09.2013";"10%";"0d747c0b2dd5781887ce3d83356491d9";"1e8ffa125215792b";"20205";"Wed Jul  8 22:50:03 2020"
"ThyssenKrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht - 1. Halbjahr 2012/2013 vom 01. Oktober 2012 bis 31. März
                                          2013";"16.08.2013";"10%";"0d747c0b2dd5781887ce3d83356491d9";"4f1dbfbc9b3e4a6a";"20205";"Wed Jul  8 22:50:03 2020"
"ThyssenKrupp AG Duisburg und Essen";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. Dezember 2012";"16.08.2013";"10%";"0d747c0b2dd5781887ce3d83356491d9";"31a8f768c27d4f4e";"20205";"Wed Jul  8 22:50:03 2020"
