"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Intelligenz System Transfer GmbH Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.02.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"89d86f110f26abc7";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Bergisch Gladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1d3ca7699cb9ae4e";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 11.01.2011 bis zum 31.12.2011";"30.04.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bebdc53f99664e71";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH,  Entwicklung von psychologischen Test- und Meßverfahren München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.03.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5df37792c3339c62";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1cbcb981904dcbc5";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Bergisch Gladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.11.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7549d462fe7545d5";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH,  Entwicklung von psychologischen Test- und Meßverfahren München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ce43058d669d7899";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"22.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"83193589b72e44e2";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Bergisch Gladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"17.11.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8f846eb0bf86270d";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH,  Entwicklung von psychologischen Test- und Meßverfahren München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"09.03.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8c0598a673f9acb1";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"30.11.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a275aaa953f72aee";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Bergisch Gladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"06.10.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"902d24ae59c090ee";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH,  Entwicklung von psychologischen Test- und Meßverfahren München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.03.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"05395521182b969a";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"07.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d959ea5cf4e85215";"57926";"Wed Jul  8 22:27:54 2020"
"Intelligenz System Transfer GmbH Bergisch Gladbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.11.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e569723d9fb39812";"57926";"Wed Jul  8 22:27:54 2020"
