"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"InterNetX Holding GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"89e94bb1d0d4d539";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"94346368ba23ec80";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"377b715a05431967";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigung der Veröffentlichung vom 04.01.2018";"30.01.2018";"83%";"0d747c0b2dd5781887ce3d83356491d9";"d394997bb04c3a8f";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigt am 30.01.2018";"04.01.2018";"83%";"0d747c0b2dd5781887ce3d83356491d9";"fe2389d9d381373e";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.01.2017";"83%";"0d747c0b2dd5781887ce3d83356491d9";"6f186a74c942e511";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Ergänzung der Veröffentlichung vom 05.01.2016";"31.03.2016";"83%";"0d747c0b2dd5781887ce3d83356491d9";"e895b806071aef52";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Ergänzt am 31.03.2016";"05.01.2016";"83%";"0d747c0b2dd5781887ce3d83356491d9";"e7d0612cde4a02da";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Berichtigung der Veröffentlichung vom 13.03.2015";"21.04.2015";"83%";"0d747c0b2dd5781887ce3d83356491d9";"242e90ba7f4452ae";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Berichtigt am 21.04.2015";"13.03.2015";"83%";"0d747c0b2dd5781887ce3d83356491d9";"235e09c4f2a3cbe9";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigung der Veröffentlichung vom 06.06.2013";"20.06.2013";"83%";"0d747c0b2dd5781887ce3d83356491d9";"62c52d25ec78ce2c";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigt am 20.06.2013";"06.06.2013";"83%";"0d747c0b2dd5781887ce3d83356491d9";"ed20cff698d7b4b4";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Berichtigung der Veröffentlichung vom 20.06.2012";"25.06.2012";"83%";"0d747c0b2dd5781887ce3d83356491d9";"61bdf22dd84fce49";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Berichtigt am 25.06.2012";"20.06.2012";"83%";"0d747c0b2dd5781887ce3d83356491d9";"a092a297912c12bd";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"25.05.2011";"83%";"0d747c0b2dd5781887ce3d83356491d9";"c52de81feaf4545d";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009 Berichtigung der Veröffentlichung vom 02.08.2010";"15.09.2010";"83%";"0d747c0b2dd5781887ce3d83356491d9";"1eedfde6b81f9d9a";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009 Berichtigt am 15.09.2010";"02.08.2010";"83%";"0d747c0b2dd5781887ce3d83356491d9";"2d2ff2a8699f881a";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 Berichtigung der Veröffentlichung vom 30.12.2009";"02.02.2010";"83%";"0d747c0b2dd5781887ce3d83356491d9";"07330aa32206484b";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 Berichtigt am 02.02.2010";"30.12.2009";"83%";"0d747c0b2dd5781887ce3d83356491d9";"85b4cbc2fee972bc";"29702";"Wed Jul  8 23:44:41 2020"
"InterNetX GmbH Regensburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"25.09.2008";"83%";"0d747c0b2dd5781887ce3d83356491d9";"27131a1881435f74";"29702";"Wed Jul  8 23:44:41 2020"
