"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"K-iS Systemhaus GmbH Simmern (vormals: K-iS Beteiligungs-GmbH) Simmern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"aa14e45643a79e4f";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0c16c84a0a1de799";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b90e15ca3f104073";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Simmern (vormals: CSW Customer-Service Wilhelm GmbH
                                       & Co. KG) Simmern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.10.2017";"09.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"43a12c8410ab7c49";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.01.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f87d03e4c513447a";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Simmern (vormals: CSW Customer-Service Wilhelm GmbH
                                       & Co. KG)  Simmern";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.03.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"158dcf2ecfb8d9a6";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"16.12.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"98d27e73bd1c9a0f";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.01.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6f55ae892b67d513";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.01.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"1e9c8fab225a3c34";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"14.08.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"10e42dba7d6bf6b2";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"31b9f4a451e0bdda";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"05.01.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"7fd22819735286ec";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"07.01.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b4e7bc9f8416be95";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"09.03.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3f57edc1333cebd2";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH & Co. KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2007";"27.01.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"1716805a983cc2b7";"42108";"Wed Jul  8 23:39:35 2020"
"K-iS Systemhaus GmbH+Co.KG Siegen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"14.02.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"40527628c6617ebf";"42108";"Wed Jul  8 23:39:35 2020"
