"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"KDI GmbH Saarbrücken";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"07.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5b22a0a99685ef79";"83514";"Wed Jul  8 23:03:11 2020"
"KDI GmbH Stendal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8c002b41462280c4";"83514";"Wed Jul  8 23:03:11 2020"
"KDI GmbH Saarbrücken";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b5f4db597597dd09";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Innenausbau GmbH Willich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2017 bis zum 30.09.2018";"28.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"305947d4a7962c4c";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Kommunale Dienstleistungs GmbH Sulzbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"425e37338a0e5e3c";"83514";"Wed Jul  8 23:03:11 2020"
"KDI GmbH Stendal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6ff2f761f7ea5159";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Klinikservice GmbH Dachau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.08.2018 und Liquidationsschlussbilanz";"07.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c4293d64aee93638";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Klinikservice GmbH Dachau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e4782d33f9de4892";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Innenausbau GmbH Willich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2016 bis zum 30.09.2017";"08.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e9a2e8118b99fb87";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Kommunale Dienstleistungs GmbH Sulzbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"547108fa5d5d8240";"83514";"Wed Jul  8 23:03:11 2020"
"KDI GmbH Saarbrücken";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9bae25465d1f985a";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Premium Logistics GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.05.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2201f109213ddd6f";"83514";"Wed Jul  8 23:03:11 2020"
"KDI GmbH Stendal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"96d4a75dfc3f4989";"83514";"Wed Jul  8 23:03:11 2020"
"Rheinkalk KDI GmbH & Co. KG Wülfrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"23.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"07a7d60533da1630";"83514";"Wed Jul  8 23:03:11 2020"
"Rheinkalk KDI Verwaltungs GmbH Wülfrath";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"23.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3a23b1db19f288ca";"83514";"Wed Jul  8 23:03:11 2020"
"KDI GmbH (vormals: Kooperation DIY Industrievertretungen GmbH) Saarbrücken";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"01fa31f75a7ea8bf";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Kommunale Dienstleistungs GmbH Sulzbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.11.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a2019dd1c7b6b6aa";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Innenausbau GmbH Willich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2015 bis zum 30.09.2016";"05.09.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8c8e6e7257af3624";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Klinikservice GmbH Dachau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.08.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f42f47303d674023";"83514";"Wed Jul  8 23:03:11 2020"
"KDI Klinikservice GmbH Dachau";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 01.01.2017";"11.08.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0f7686a047cccbf0";"83514";"Wed Jul  8 23:03:11 2020"
