"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"330a685a01eb65a2";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"23.10.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"0a61f575baf71228";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.10.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"2db5c784fe0c1443";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.12.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"7f44fc55dd0a2b92";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.01.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"e4311961484a4cfd";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"18.12.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"a5c00a0064d4fd1d";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.12.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"bb2949d00c2b330d";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"29.12.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"aa87f9b4173fd27f";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"23.03.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"d5cc82e41f6c39bc";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"10.02.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"72b04070d6f8bfaa";"78150";"Thu Jul  9 00:08:34 2020"
"KPS Karl Pönighaus Systemhaus GmbH & Co. KG Hiddenhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"19.12.2008";"99%";"0d747c0b2dd5781887ce3d83356491d9";"8fe5465b319f545b";"78150";"Thu Jul  9 00:08:34 2020"
