"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bdf0126b66b82ec7";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"17.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7ed232e6d489e2e4";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.08.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c10c887fc03e7f1a";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.05.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"bb03b93ad94ff941";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"06.11.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"80409e67869e7602";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Berichtigung der Veröffentlichung vom 02.06.2014";"15.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6cdda6bcd131c5ae";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Berichtigung der Veröffentlichung vom 13.05.2014 Berichtigt am 15.12.2014";"02.06.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ce6ebab7312471ec";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Berichtigt am 02.06.2014";"13.05.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"78d9d9dac5467c6b";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.01.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e69a0d9e6fb311a6";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.10.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7de4ce996ef295f9";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.04.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"bbc0e943ac98c76a";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.03.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b277e8950ec5a3ec";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.08.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f4b199da9acb2327";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"06.05.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6e262302f25c4eb5";"24385";"Wed Jul  8 23:32:27 2020"
"KAMAsys GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"01.04.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7530f50af7b60c24";"24385";"Wed Jul  8 23:32:27 2020"
