"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"dd8d9ce905a33e29";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a2d6d835553982cb";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.04.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"571a405e189cd3f6";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.03.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"520b0701f70d2fba";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"25.04.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a0483a8d8856bc70";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.03.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ecfb606ba69d0679";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.02.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c0aea43dbba27fff";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.01.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"47361676eeb54b7b";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"22.12.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f6086bfa8a6f76c6";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.12.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"cc8b376622e59ad6";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"11.01.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0037c46837412ac8";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"23.12.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"5c0039876fde405f";"37710";"Wed Jul  8 22:40:17 2020"
"Keil KTM GmbH Feldkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"28.01.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"99b57f099ffe9241";"37710";"Wed Jul  8 22:40:17 2020"
