"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Kiwiplan GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 SPG Germany Service Management GmbH (Dinslaken)";"21.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d882d48734a8e9c7";"82545";"Wed Jul  8 23:54:16 2020"
"Kiwiplan GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 SPG Germany Service Management GmbH (Dinslaken)";"15.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8478d5f7fdb3593b";"82545";"Wed Jul  8 23:54:16 2020"
"SPG Germany Service Management GmbH Dinslaken";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.12.2019";"0d747c0b2dd5781887ce3d83356491d9";"8478d5f7fdb3593b";"82545";"Wed Jul  8 23:54:16 2020";"";""
"Kiwiplan GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 SPG Germany Service Management GmbH (Dinslaken)";"04.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c9f67ae54a1d324c";"82545";"Wed Jul  8 23:54:16 2020"
"SPG Germany Service Management GmbH Dinslaken";"» Befreiender Konzernabschluss gem. § 291 HGB zum Geschäftsjahr vom 01.01.2017 bis zum
                                          31.12.2017";"04.09.2018";"0d747c0b2dd5781887ce3d83356491d9";"c9f67ae54a1d324c";"82545";"Wed Jul  8 23:54:16 2020";"";""
"Kiwiplan GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 SPG Germany Service Management GmbH (Dinslaken)";"22.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"999e2d7b656b5c66";"82545";"Wed Jul  8 23:54:16 2020"
"SPG Germany Service Management GmbH Dinslaken";"» Befreiender Konzernabschluss gem. § 291 HGB zum Geschäftsjahr vom 01.01.2016 bis zum
                                          31.12.2016";"20.02.2018";"0d747c0b2dd5781887ce3d83356491d9";"999e2d7b656b5c66";"82545";"Wed Jul  8 23:54:16 2020";"";""
"Kiwiplan GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 SPG Germany Service Management GmbH (Dinslaken)";"14.03.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b797eb1c02b7d9ee";"82545";"Wed Jul  8 23:54:16 2020"
"SPG Germany Service Management GmbH Dinslaken";"» Befreiender Konzernabschluss gem. § 291 HGB zum Geschäftsjahr vom 01.01.2015 bis zum
                                          31.12.2015";"21.03.2017";"0d747c0b2dd5781887ce3d83356491d9";"b797eb1c02b7d9ee";"82545";"Wed Jul  8 23:54:16 2020";"";""
"Kiwiplan GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Signode Industrial Group Lux S.A. (Luxembourg)";"08.05.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"da0a7d0eae0cbe0d";"82545";"Wed Jul  8 23:54:16 2020"
