"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Wirtschaftsförderungsgesellschaft des Kreises Rendsburg-Eckernförde mbH & Co. KG Rendsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3265776dd7af94c8";"95197";"Wed Jul  8 22:54:00 2020"
"Wirtschaftsförderungsgesellschaft des Kreises Rendsburg-Eckernförde mbH & Co. KG Rendsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"19.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"909b78eddf9ed2de";"95197";"Wed Jul  8 22:54:00 2020"
"Lebenshilfe im Kreis Rendsburg-Eckernförde Dienstleistungs-GmbH Hohenwestedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"db26eee5e563f786";"95197";"Wed Jul  8 22:54:00 2020"
"Lebenshilfe im Kreis Rendsburg-Eckernförde Dienstleistungs-GmbH Hohenwestedt";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 01.01.2016";"22.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bdbf7657f0491cc3";"95197";"Wed Jul  8 22:54:00 2020"
"Wirtschaftsförderungsgesellschaft des Kreises Rendsburg-Eckernförde mbH & Co. KG Rendsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"20.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"790d563a5c576868";"95197";"Wed Jul  8 22:54:00 2020"
"WFG Infrastruktur GmbH (vormals: Wirtschaftsförderungsgesellschaft des Kreises Rendsburg-Eckernförde
                                       mbH) Rendsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"12dc5b38899a764c";"95197";"Wed Jul  8 22:54:00 2020"
"Wirtschaftsförderungsgesellschaft des Kreises Rendsburg-Eckernförde mbH & Co. KG Rendsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d7e64f7b22625f87";"95197";"Wed Jul  8 22:54:00 2020"
"Lebenshilfe im Kreis Rendsburg-Eckernförde Dienstleistungs-GmbH Hohenwestedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"08.11.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0d3da2f128ba62cb";"95197";"Wed Jul  8 22:54:00 2020"
"Lebenshilfe im Kreis Rendsburg-Eckernförde Dienstleistungs-GmbH Hohenwestedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"27.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c6b8af19244cb061";"95197";"Wed Jul  8 22:54:00 2020"
"Wirtschaftsförderungsgesellschaft des Kreises Rendsburg-Eckernförde mbH Rendsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.11.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3110f5322bd649a1";"95197";"Wed Jul  8 22:54:00 2020"
