"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"24.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e53d85bcb4419f61";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"de7906c6ece94dff";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fa1ff446228de6b5";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.05.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"388bddbb3469566e";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"14.12.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bfefdd2f545b206b";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"25.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"87d3f11901b931ce";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.12.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1198667d64302e01";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"29.05.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"80335de76a04bb3f";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"02.07.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c11d23fd138fc5f5";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b5067fa5cff5e384";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"04.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"73d993e0dc2527b2";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"17.02.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1947e56809f6090e";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"09.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c8b5e94946347c73";"12118";"Thu Jul  9 00:08:15 2020"
"LANTEK Systemtechnik GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"09.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c25039a4e31b47cf";"12118";"Thu Jul  9 00:08:15 2020"
