"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Mitte gemeinnützige Gesellschaft
                                       mit beschränkter Haftung Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5edd98134e33194d";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Nord gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c435a52b6b9108d4";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Management- und Führungsholding
                                       gemeinnützige GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b6022396056cf1f1";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Nord gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"03e89db499ec3cb7";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Süd gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"01.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"51847fe766ee816e";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Management- und Führungsholding
                                       gemeinnützige GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"142054c481fd781b";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Ost gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2016 bis zum 31.12.2016";"29.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1da609c88d3347e0";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Nord gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2016 bis zum 31.12.2016";"29.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ae4068cf7a9e7b3b";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Mitte gemeinnützige Gesellschaft
                                       mit beschränkter Haftung Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"17.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"62954253f1bc1574";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Süd gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2016 bis zum 31.12.2016";"27.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7694dfbe61da8aaa";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Mitte gemeinnützige Gesellschaft
                                       mit beschränkter Haftung Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2016 bis zum 31.12.2016";"30.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"36206e2ec54d95f1";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Ost gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2015 bis zum 31.07.2016";"01.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9411584f9be4a42b";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Nord gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2015 bis zum 31.07.2016";"01.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"369a8faba16cbfdd";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Süd gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2015 bis zum 31.07.2016";"24.11.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"838acf615950f59f";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Mitte gemeinnützige Gesellschaft
                                       mit beschränkter Haftung Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2015 bis zum 31.07.2016";"01.06.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"72e9f2cc611f045f";"21176";"Wed Jul  8 22:47:30 2020"
"Treuhandgesellschaft der Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen mbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2890e7321e124498";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Ost gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2014 bis zum 31.07.2015";"18.11.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a9efb8034d05641e";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Mitte gemeinnützige Gesellschaft
                                       mit beschränkter Haftung Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2014 bis zum 31.07.2015";"14.10.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2636fece7df2f31c";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Nord gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2014 bis zum 31.07.2015";"12.09.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b5bd16e57a253d92";"21176";"Wed Jul  8 22:47:30 2020"
"Bildungsvereinigung ARBEIT UND LEBEN Niedersachsen Süd gGmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2014 bis zum 31.07.2015";"24.08.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7054d27827983a5e";"21176";"Wed Jul  8 22:47:30 2020"
