"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"55df7a37606a60ec";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"05cd7922f03837bd";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.01.2018";"99%";"0d747c0b2dd5781887ce3d83356491d9";"5f6075572842a83b";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"06.02.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"cb88edb7f17ebf31";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.01.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"4f012cd4e29b4f11";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.01.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"b6679cc0e74aa74e";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"11.02.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"13b6f64fbc6cf0c9";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.01.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"c455dc69674ef369";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"28.12.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"555b8170d74c9c14";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"14.01.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"07e3d5b04c59bafc";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"06.01.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"b9a20bef3cb6d70f";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"22.01.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"87705120cabb0d3d";"25759";"Wed Jul  8 23:51:34 2020"
"LIS.TEC GmbH Gesellschaft für IT und Businessberatung Ludwigsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"05.12.2007";"99%";"0d747c0b2dd5781887ce3d83356491d9";"63e9ed650f190a25";"25759";"Wed Jul  8 23:51:34 2020"
