"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Lansco GmbH Hof";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7f2eb63fcf2b3c8c";"94351";"Thu Jul  9 00:03:41 2020"
"Lansco GmbH Hof";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e6ef8cfc83b47197";"94351";"Thu Jul  9 00:03:41 2020"
"Lansco GmbH Hof";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.02.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"bb25c67603ff5ef2";"94351";"Thu Jul  9 00:03:41 2020"
"Lansco GmbH Hof (vormals: Oberkotzau)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0ba8b166b243cf32";"94351";"Thu Jul  9 00:03:41 2020"
"Lansco GmbH Oberkotzau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.03.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e18b9381dc806c6b";"94351";"Thu Jul  9 00:03:41 2020"
"Lansco GmbH Oberkotzau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.02.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c900538008d2ab9e";"94351";"Thu Jul  9 00:03:41 2020"
"Lansco GmbH Oberkotzau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"17.08.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8d4939efcd0d6ff4";"94351";"Thu Jul  9 00:03:41 2020"
"Lansco GmbH Oberkotzau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"28.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ae987554998393fe";"94351";"Thu Jul  9 00:03:41 2020"
"Lansco GmbH Oberkotzau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"01.03.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a9b483e5417de72a";"94351";"Thu Jul  9 00:03:41 2020"
"Lansco GmbH Oberkotzau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"13.01.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0f49e5b56152423d";"94351";"Thu Jul  9 00:03:41 2020"
