"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"65a371f8fb44735a";"91867";"Wed Jul  8 23:03:49 2020"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"24.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8ad5a15914ca2b30";"91867";"Wed Jul  8 23:03:49 2020"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e667352f3ec77506";"91867";"Wed Jul  8 23:03:49 2020"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"22.09.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"91412b17ff816360";"91867";"Wed Jul  8 23:03:49 2020"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.02.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ca740dfbfe8f0322";"91867";"Wed Jul  8 23:03:49 2020"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"29.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"331e50e74039a913";"91867";"Wed Jul  8 23:03:49 2020"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"21.01.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"8c671a44902029c0";"91867";"Wed Jul  8 23:03:49 2020"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.12.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b1deb5264b23d611";"91867";"Wed Jul  8 23:03:49 2020"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"20.12.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ed492510fc557585";"91867";"Wed Jul  8 23:03:49 2020"
"Lartec-GmbH Worms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 25.03.2009 bis zum 31.12.2009";"23.09.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d69f685f5e49e9a5";"91867";"Wed Jul  8 23:03:49 2020"
