"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3720e307071ea8e9";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8a44bbd9b6ec418c";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.05.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8fa4bc278b37bfbc";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.03.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fab31947336aac40";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.10.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8371e3ad83a94bb1";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"28.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"85062c7ca2d73036";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.03.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3bd38325249e4e5b";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"01.02.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"557de79ca91011d5";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.11.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c8051aa5b9646295";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"05.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f8c427bff6d8a0ba";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"26.02.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b0a64783da2a929f";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"13.02.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8953f7ed9786cb24";"23115";"Wed Jul  8 22:24:43 2020"
"Lazard & Co. GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Verkürzter Jahresabschluss und weitere zur Offenlegung bestimmte Unterlagen zum 31.12.2006";"17.04.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"aadd08c1dc37aa6f";"23115";"Wed Jul  8 22:24:43 2020"
"Bremer Landesbank Kreditanstalt Oldenburg -Girozentrale- Bremen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht nach IFRS zum 30. Juni 2017";"05.09.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"0db83d2988d37e65";"23115";"Wed Jul  8 22:24:43 2020"
"Bremer Landesbank Kreditanstalt Oldenburg -Girozentrale- Bremen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"26.09.2016";"5%";"0d747c0b2dd5781887ce3d83356491d9";"a51e5f2f8b3c2e6a";"23115";"Wed Jul  8 22:24:43 2020"
"Bremer Landesbank Kreditanstalt Oldenburg -Girozentrale- Bremen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"5%";"0d747c0b2dd5781887ce3d83356491d9";"1e62e8f98da3d97c";"23115";"Wed Jul  8 22:24:43 2020"
