"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e0caecbd90f8a0d6";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1c4302cdefc663c5";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"329d47f818e24b36";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"17.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0d1e7007c5a37cd8";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.12.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bb59567ff5d17298";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.12.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d753bb5ab43c22ce";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2117b7c50e3666f2";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"93d27d7dd2bae319";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"20.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"61de1832134e0d8d";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.12.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d36539717d6e6b79";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.12.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dff8257205993a92";"98816";"Wed Jul  8 23:15:26 2020"
"Linzgau Reisebüro GmbH Pfullendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"19.12.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d69a71087b6974e1";"98816";"Wed Jul  8 23:15:26 2020"
