"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Lobster GmbH Pöcking";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"01.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"464ab7c663861c63";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Event GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6c1e47e7483d4ebf";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster PIM GmbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6c78d5e9666bc0c7";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Experience GmbH & Co. KG Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8551043cd889511c";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster SCM GmbH Pöcking";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a22a95848c4d43e4";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Experience GmbH & Co. KG Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"269c98ffa6f7ef33";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Event GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a21ed8c633ad615f";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Communications GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"185be9e81786ab6f";"91275";"Wed Jul  8 23:47:17 2020"
"Little Lobster GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7a8a2daf5bd7853d";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster GmbH Pöcking";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"70d9f655432f3724";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Event GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c5e33eafd4f8d353";"91275";"Wed Jul  8 23:47:17 2020"
"Little Lobster GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"30.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"dea94d60b7d6007b";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Experience GmbH & Co. KG Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"30.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1f4bcf6498593f14";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Communications GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4255e1327523b0bc";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Destinations GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.11.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d573e344755d2818";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster GmbH Pöcking";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"03.07.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"844f5a943f905330";"91275";"Wed Jul  8 23:47:17 2020"
"Spiny Lobster GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"05.05.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"dcc4bdb2ef2770bd";"91275";"Wed Jul  8 23:47:17 2020"
"Little Lobster GmbH (vormals: Little Lobster UG (haftungsbeschränkt)) Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Berichtigung der Veröffentlichung vom 09.11.2016";"27.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a41c84e51419b107";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Experience GmbH & Co. KG Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"041e9ce963ffd36d";"91275";"Wed Jul  8 23:47:17 2020"
"Lobster Event GmbH Offenbach am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"16.12.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0f2b5ccbfb6c8b24";"91275";"Wed Jul  8 23:47:17 2020"
