"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Long Range Systems GmbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.02.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"551d3ec030f18cea";"51562";"Wed Jul  8 23:46:19 2020"
"Long Range Systems GmbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.02.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f4d054a4a19ada6b";"51562";"Wed Jul  8 23:46:19 2020"
"Long Range Systems GmbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.03.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ab1624bd7f318ac7";"51562";"Wed Jul  8 23:46:19 2020"
"Long Range Systems GmbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.02.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"bc98f8981d8fdc7a";"51562";"Wed Jul  8 23:46:19 2020"
"Long Range Systems GmbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"28.02.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f9fdad4f57d459a5";"51562";"Wed Jul  8 23:46:19 2020"
"Long Range Systems GmbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"31.01.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"4812d7bf90e4a62b";"51562";"Wed Jul  8 23:46:19 2020"
"Long Range Systems GmbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 21.07.2008 bis zum 31.12.2008";"16.03.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"1592bd6ba06ea0dd";"51562";"Wed Jul  8 23:46:19 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum  30. Juni 2016";"26.09.2016";"37%";"0d747c0b2dd5781887ce3d83356491d9";"f95df7154dd1f6b8";"51562";"Wed Jul  8 23:46:19 2020"
"Beta Systems Software AG Berlin";"Rechnungslegung/ Finanzberichte";"» Quartalsbericht über das 1. Quartal 2007";"02.07.2007";"37%";"0d747c0b2dd5781887ce3d83356491d9";"1a33c5da3f9933ae";"51562";"Wed Jul  8 23:46:19 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"7%";"0d747c0b2dd5781887ce3d83356491d9";"189d0ef09ab445c6";"51562";"Wed Jul  8 23:46:19 2020"
