"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Lorch Management GmbH Albstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2012 bis zum 31.03.2013";"02.04.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5cbcbaf6feb5cc6e";"45880";"Wed Jul  8 22:44:25 2020"
"Lorch Management GmbH Albstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2011 bis zum 31.03.2012";"11.04.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d5c506e6efc0b2c4";"45880";"Wed Jul  8 22:44:25 2020"
"Lorch Management GmbH Albstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2010 bis zum 31.03.2011";"10.04.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d75013e4ccad4bde";"45880";"Wed Jul  8 22:44:25 2020"
"Lorch Management GmbH Albstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2009 bis zum 31.03.2010";"04.04.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a8ef06633d05e61a";"45880";"Wed Jul  8 22:44:25 2020"
"Lorch Management GmbH Albstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2008 bis zum 31.03.2009";"30.09.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1ba648f889d01d19";"45880";"Wed Jul  8 22:44:25 2020"
"Lorch Management GmbH Albstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2007 bis zum 31.03.2008";"30.03.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3ed8435b4fcb0c79";"45880";"Wed Jul  8 22:44:25 2020"
"Lorch Management GmbH Albstadt-Ebingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.3.2007";"19.03.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"daff500491c4321f";"45880";"Wed Jul  8 22:44:25 2020"
"GBI Ingenieurgesellschaft für Management und Technologie mbH München (vormals: Lorch)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"19.01.2017";"85%";"0d747c0b2dd5781887ce3d83356491d9";"010cec8fa876cf44";"45880";"Wed Jul  8 22:44:25 2020"
"GBI Ingenieurgesellschaft für Management und Technologie mbH Lorch";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"25.01.2016";"85%";"0d747c0b2dd5781887ce3d83356491d9";"42bb181716f99f2c";"45880";"Wed Jul  8 22:44:25 2020"
"GBI Ingenieurgesellschaft für Management und Technologie mbH Lorch";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"11.09.2014";"85%";"0d747c0b2dd5781887ce3d83356491d9";"39b5c8d3597ad71d";"45880";"Wed Jul  8 22:44:25 2020"
"GBI Ingenieurgesellschaft für Management und Technologie mbH Lorch";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.03.2014";"85%";"0d747c0b2dd5781887ce3d83356491d9";"93f153e0230b1d76";"45880";"Wed Jul  8 22:44:25 2020"
"GBI Ingenieurgesellschaft für Management und Technologie mbH Lorch";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"19.11.2012";"85%";"0d747c0b2dd5781887ce3d83356491d9";"c2876f6ca7557bc3";"45880";"Wed Jul  8 22:44:25 2020"
"GBI Ingenieurgesellschaft für Management und Technologie mbH Lorch";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.01.2012";"85%";"0d747c0b2dd5781887ce3d83356491d9";"f21093f0dead0c2d";"45880";"Wed Jul  8 22:44:25 2020"
"GBI Ingenieurgesellschaft für Management und Technologie mbH Lorch";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"28.01.2011";"85%";"0d747c0b2dd5781887ce3d83356491d9";"ffd9d3c0eb7e2490";"45880";"Wed Jul  8 22:44:25 2020"
"GBI Ingenieurgesellschaft für Management und Technologie mbH Lorch (vormals: Oberursel (Taunus))";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"29.01.2010";"85%";"0d747c0b2dd5781887ce3d83356491d9";"7db75ef30da771e8";"45880";"Wed Jul  8 22:44:25 2020"
