"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Lynx Facility Services GmbH Brühl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"23.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3fae6e6acae1dd13";"98786";"Thu Jul  9 00:13:55 2020"
"LYNX-cwg Gesellschaft für Organisationskonzeptionen und Systemintegrationen mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e81c65fc9926942c";"98786";"Thu Jul  9 00:13:55 2020"
"Axians Lynx GmbH (vormals: Lynx-Consulting GmbH) Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f919cbef2c8c4686";"98786";"Thu Jul  9 00:13:55 2020"
"Solarpark Lynx GmbH & Co. KG Glückstadt (vormals: München)";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Steinbeis Holding GmbH (Brannenburg)";"19.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8b07ce406467dcc2";"98786";"Thu Jul  9 00:13:55 2020"
"Steinbeis Holding GmbH Brannenburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.01.2020";"0d747c0b2dd5781887ce3d83356491d9";"8b07ce406467dcc2";"98786";"Thu Jul  9 00:13:55 2020";"";""
"Solarpark Lynx GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Steinbeis Holding GmbH (Brannenburg)";"21.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7f5de0c2557c1234";"98786";"Thu Jul  9 00:13:55 2020"
"Steinbeis Holding GmbH Brannenburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.01.2019";"0d747c0b2dd5781887ce3d83356491d9";"7f5de0c2557c1234";"98786";"Thu Jul  9 00:13:55 2020";"";""
"SilverLynx Media GmbH Herzberg am Harz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"93b6e0fbbbcededa";"98786";"Thu Jul  9 00:13:55 2020"
"LYNX-cwg Gesellschaft für Organisationskonzeptionen und Systemintegrationen mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0f61a9974abcc8a8";"98786";"Thu Jul  9 00:13:55 2020"
"MS ""LYNX J"" Schiffahrtsgesellschaft mbH & Co. KG Haren (Ems)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"da1f4fb8006ea8b4";"98786";"Thu Jul  9 00:13:55 2020"
"Lynx-Consulting GmbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"faeeb546e35fa9c8";"98786";"Thu Jul  9 00:13:55 2020"
"Lynx Facility Services GmbH Brühl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cbd97c30c6087646";"98786";"Thu Jul  9 00:13:55 2020"
"SilverLynx Media GmbH Herzberg am Harz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"736b0bcd163c9063";"98786";"Thu Jul  9 00:13:55 2020"
"Lynx Technology Germany GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.03.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"58c8c042b84ed086";"98786";"Thu Jul  9 00:13:55 2020"
"Solarpark Lynx GmbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Steinbeis Holding GmbH (Brannenburg)";"27.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a8bf29117bbef7b1";"98786";"Thu Jul  9 00:13:55 2020"
"Steinbeis Holding GmbH Brannenburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.02.2018";"0d747c0b2dd5781887ce3d83356491d9";"a8bf29117bbef7b1";"98786";"Thu Jul  9 00:13:55 2020";"";""
"LYNX-cwg Gesellschaft für Organisationskonzeptionen und Systemintegrationen mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"313a3751b85958b1";"98786";"Thu Jul  9 00:13:55 2020"
"MS ""Apollo Lynx"" Shipping GmbH & Co.KG Wischhafen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"16a98b640b85c756";"98786";"Thu Jul  9 00:13:55 2020"
"Lynx-Consulting GmbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"28.11.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"32db557a4aa9f02b";"98786";"Thu Jul  9 00:13:55 2020"
"Lynx Facility Services GmbH Brühl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.08.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1938968a2bddb8a5";"98786";"Thu Jul  9 00:13:55 2020"
"LYNX and friends media,  marketing & more GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.07.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1c44d841335b25a0";"98786";"Thu Jul  9 00:13:55 2020"
"Lynx Technology Germany GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.04.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c21aac50e959a092";"98786";"Thu Jul  9 00:13:55 2020"
