"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"30.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d97e79a07d3a7fe5";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"28.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cde925e243822639";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.03.2017";"14.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9a1d53ac4be836e7";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.03.2017";"13.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"84577712891381d7";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2017 bis zum 31.03.2018";"26.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"497b9a8c550a2bf9";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2017 bis zum 31.03.2018";"26.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6976a5894c011bfd";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.11.2017";"83%";"0d747c0b2dd5781887ce3d83356491d9";"6d2a872787ed0035";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.07.2017";"83%";"0d747c0b2dd5781887ce3d83356491d9";"9668f281053120d9";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"17.10.2016";"83%";"0d747c0b2dd5781887ce3d83356491d9";"e66e9727769a80c3";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.10.2016";"83%";"0d747c0b2dd5781887ce3d83356491d9";"6c405adad99eb2cb";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.02.2016";"83%";"0d747c0b2dd5781887ce3d83356491d9";"21d348697d8bad31";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.01.2016";"83%";"0d747c0b2dd5781887ce3d83356491d9";"ecb23d336560b953";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.01.2015";"83%";"0d747c0b2dd5781887ce3d83356491d9";"8777f1bc296dbac5";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"09.01.2015";"83%";"0d747c0b2dd5781887ce3d83356491d9";"490cbe42be99c76f";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.11.2013";"83%";"0d747c0b2dd5781887ce3d83356491d9";"35ac43add6b0f0b0";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.11.2013";"83%";"0d747c0b2dd5781887ce3d83356491d9";"b8795b48b3868f90";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"09.07.2012";"83%";"0d747c0b2dd5781887ce3d83356491d9";"f200cde899ba01bf";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"09.07.2012";"83%";"0d747c0b2dd5781887ce3d83356491d9";"8b7da852544cd17b";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Service GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.12.2011";"83%";"0d747c0b2dd5781887ce3d83356491d9";"5dc05f5161e33192";"28992";"Wed Jul  8 23:41:38 2020"
"MKCL Deutschland GmbH Bad Oldesloe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.12.2011";"83%";"0d747c0b2dd5781887ce3d83356491d9";"7d19f94fb73445d8";"28992";"Wed Jul  8 23:41:38 2020"
