"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"MT Aerospace AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f8d24a6e366953d2";"23084";"Thu Jul  9 00:01:09 2020"
"MT Spielbetriebs- und Marketing Aktiengesellschaft Melsungen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"26.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"69a2913fe9d7c0cb";"23084";"Thu Jul  9 00:01:09 2020"
"MT Aerospace AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e2d8df3c51451015";"23084";"Thu Jul  9 00:01:09 2020"
"MT AG Ratingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9fb396ffd8065b18";"23084";"Thu Jul  9 00:01:09 2020"
"MT Spielbetriebs- und Marketing Aktiengesellschaft Melsungen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"10.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6158bcc31d45524e";"23084";"Thu Jul  9 00:01:09 2020"
"Chemgas Schiffahrts UG (haftungsbeschränkt) & Co. MT ""DNEPR"" KG (Leer),  Chemgas Schiffahrts UG (haftungsbeschränkt) & Co. MT ""GASCHEM RHONE"" KG (Leer),  Chemgas Schiffahrts UG (haftungsbeschränkt) & Co. MT ""GASCHEM SHINANO"" KG (Leer),
                                        Chemgas Schiffahrts UG (haftungsbeschränkt) & Co. MT ""MOLDAU"" KG (Leer),  Chemgas Schiffahrts UG (haftungsbeschränkt) & Co. MT ""WESER"" KG (Leer),  Coastal-Bulker UG (haftungsbeschränkt) & Co. MS ""EMDEN"" KG (Leer),  Coastal-Bulker UG (haftungsbeschränkt) & Co. MS ""OLDENBURG"" KG (Leer),  Container-Schiffahrt GmbH & Co. MS ""FRISIA BONN"" KG (Leer),  Container-Schiffahrt GmbH & Co. MS ""FRISIA NÜRNBERG"" KG (Leer),  Container-Schiffahrt GmbH & Co. MS ""FRISIA RHEIN"" KG (Leer),  Container-Schiffahrt GmbH & Co. MS ""FRISIA SPREE"" KG (Leer),  Container-Schiffahrt UG (haftungsbeschränkt) & Co. MS ""FRISIA DORTMUND"" KG (Leer),
                                        Container-Schiffahrt UG (haftungsbeschränkt) & Co. MS ""FRISIA DÜSSELDORF"" KG (Leer),
                                        Container-Schiffahrt UG (haftungsbeschränkt) & Co. MS ""FRISIA MÜNSTER"" KG (Leer),
                                        Container-Schiffahrt UG (haftungsbeschränkt) & Co. MS ""FRISIA OSNABRÜCK"" KG (Leer),
                                        Container-Schiffahrt UG (haftungsbeschränkt) & Co. MS ""FRISIA SCHWERIN"" KG (Leer),
                                        EcoStar36 Chartering 1 GmbH & Co. KG (Leer),  EcoStar36 Chartering 2 GmbH & Co. KG (Leer),  EcoStar36 Chartering 3 GmbH & Co. KG (Leer),  GasChem Services GmbH & Co. KG (Hamburg),  Hunte Chartering GmbH & Co. KG (Leer),  Main Chartering GmbH & Co. KG (Leer),  Saar Chartering GmbH & Co. KG (Leer),  Zweite Container-Shipping UG (haftungsbeschränkt) & Co. MS ""FRISIA ALLER"" KG (Leer),
                                        Zweite Container-Shipping UG (haftungsbeschränkt) & Co. MS ""FRISIA ALSTER"" KG (Leer),
                                        Zweite Container-Shipping UG (haftungsbeschränkt) & Co. MS ""FRISIA ILLER"" KG (Leer),
                                        Zweite Container-Shipping UG (haftungsbeschränkt) & Co. MS ""FRISIA INN"" KG (Leer),
                                        Zweite Container-Shipping UG (haftungsbeschränkt) & Co. MS ""FRISIA LAHN"" KG (Leer),
                                        Zweite Container-Shipping UG (haftungsbeschränkt) & Co. MS ""FRISIA RHEIN"" KG (Leer),
                                        Zweite Container-Shipping UG (haftungsbeschränkt) & Co. MS ""FRISIA SPREE"" KG (Leer) Leer";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Hartmann AG (Leer)";"29.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"1fbe5206ebbbadfe";"23084";"Thu Jul  9 00:01:09 2020"
"Hartmann AG Leer";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.07.2018";"0d747c0b2dd5781887ce3d83356491d9";"1fbe5206ebbbadfe";"23084";"Thu Jul  9 00:01:09 2020";"";""
"MT AG Ratingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.09.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b468c27f965f0168";"23084";"Thu Jul  9 00:01:09 2020"
"MT Aerospace AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.08.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"fff8cd27182edc1d";"23084";"Thu Jul  9 00:01:09 2020"
"MS ""MARE FOX"" Schiffahrts GmbH & Co. KG (Hamburg),  MS ""MARE FRIO"" Schiffahrts GmbH & Co. KG (Hamburg),  MS ""MARE TRACER"" Schiffahrts GmbH & Co. KG (Hamburg),  MS ""MARE TRADER"" Schiffahrts GmbH & Co. KG (Hamburg),  MS ""MARE TRANSPORTER"" Schiffahrts GmbH & Co. KG (Hamburg),  MS ""MARE TRAVELLER"" Schiffahrts GmbH & Co. KG (Hamburg),  MT ""MARE ACTION"" Tankschiffahrts GmbH & Co. KG (Hamburg),  MT ""MARE AMBASSADOR"" Tankschiffahrts GmbH & Co. KG (Hamburg),  MT ""MARE ANTARCTIC"" Tankschiffahrts GmbH & Co. KG (Hamburg),  MT ""MARE ARCTIC"" Tankschiffahrts GmbH & Co. KG (Hamburg),  MT ""MARE ATLANTIC"" Tankschiffahrts GmbH & Co. KG (Hamburg),  MT ""MARE BALTIC"" Tankschiffahrts GmbH & Co. KG (Hamburg),  MT ""MARE CARIBBEAN"" Tankschiffahrts GmbH & Co. KG (Hamburg),  MT ""MARE PACIFIC"" Tankschiffahrts GmbH & Co. KG (Hamburg) Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Marenave Schiffahrts AG (Hamburg)";"25.07.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0a565ea15db3d714";"23084";"Thu Jul  9 00:01:09 2020"
