"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"29b12e861a48d128";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5f61d587ee458561";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"29.01.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"d718d4511f1e18fe";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5c39939695317429";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.09.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c8c6e98702a1953f";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"23.01.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"556ae454e4d80e6e";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.01.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"e2116f273f83bd61";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.05.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"0695026240abdb78";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"26.01.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"f0a934a51e4f0f78";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.05.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5457b474f8c2f34e";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"21.10.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"fdc5977d7d2b5541";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"15.12.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"c22c89b6a937ec31";"17038";"Wed Jul  8 23:23:14 2020"
"MWS Märkische WACH & SCHUTZ GmbH Luckenwalde";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"20.09.2007";"98%";"0d747c0b2dd5781887ce3d83356491d9";"e5523b03d3a97f3c";"17038";"Wed Jul  8 23:23:14 2020"
