"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Maassen & Schmitz GmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"28.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"60ed1db925dcae43";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH & Co. Kommunikationstechnik KG Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4bfafc8293563789";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH & Co. Kommunikationstechnik KG Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.12.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0a76fb3e818e9396";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.12.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"90c094446472f733";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"10.10.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b79f70e826115575";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH & Co. Kommunikationstechnik KG Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"08.10.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"36937e538215568a";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH & Co. Kommunikationstechnik KG Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"05.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ba871bb53d867fc1";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"05.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2618e604fd361841";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"15.12.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"06ac82c1d4833ad0";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH & Co. Kommunikationstechnik KG Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"15.12.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b5efaf68c36059f5";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH & Co. Kommunikationstechnik KG Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"cf8f6597ad19fea7";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e03b734b9eedca08";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"11.12.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"706b56b053d339f4";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH & Co. Kommunikationstechnik KG Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"11.12.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d9cb581c60079adf";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH & Co. Kommunikationstechnik KG Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"27.03.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8f2f1f7a6d031b93";"66328";"Wed Jul  8 22:40:52 2020"
"Maassen & Schmitz GmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"27.03.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c2a2d9755bd85a68";"66328";"Wed Jul  8 22:40:52 2020"
