"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"23.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f8540fa0da78c23c";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"15.04.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b7bb84515d80f1a2";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"14.12.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dbe80cea73663f4c";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"27.12.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"93c0f7652a7927bd";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"15.10.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8ea1793441fd741d";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014";"15.10.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bb9e20e9523ae31b";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2012 bis zum 30.06.2013";"13.10.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f2bfdd2a3dcf3cf5";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012";"17.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3731d26e494d2426";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2010 bis zum 30.06.2011";"15.03.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6463a343ca394d84";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 30.06.2009 Ergänzung der Veröffentlichung vom 09.02.2011";"12.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"87dbac095adf3ec9";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2009 bis zum 30.06.2010 Ergänzung der Veröffentlichung vom 08.02.2011";"12.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3fa1641ee2472221";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 30.06.2009 Ergänzt am 12.12.2011";"09.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c7a8e7e5ff9ee5f4";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2009 bis zum 30.06.2010 Ergänzt am 12.12.2011";"08.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a4c798e8925e2c08";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2007 bis zum 30.06.2008";"17.11.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0d6cd30c73845ff0";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 30.06.2007";"22.07.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7ddc1b68a752f752";"09257";"Wed Jul  8 23:52:42 2020"
"Magrathea Informatik GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 30. Juni 2006";"10.04.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1569d385866f69ea";"09257";"Wed Jul  8 23:52:42 2020"
