"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2019 bis zum 31.03.2020";"11.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"14233e04429f6c2f";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"20.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"81beff948cecbf15";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2017 bis zum 31.03.2018";"16.05.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fe426493c5b64a3e";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2016 bis zum 31.03.2017";"26.06.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"365219c09166969f";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2015 bis zum 31.03.2016";"30.09.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6d5334332691db10";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2014 bis zum 31.03.2015";"30.10.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"236dd82377371b91";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2013 bis zum 31.03.2014";"10.03.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"353fec043d025af8";"90128";"Wed Jul  8 22:58:15 2020"
"Stefan Maier Industrieservice GmbH Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e5e64472450aa69d";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2011 bis zum 31.03.2012";"24.05.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7b0c810b6a1573a7";"90128";"Wed Jul  8 22:58:15 2020"
"Stefan Maier Industrieservice GmbH Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"54a391ef27257a4d";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2010 bis zum 31.03.2011";"30.03.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9b5d93cfa43ef112";"90128";"Wed Jul  8 22:58:15 2020"
"Stefan Maier Industrieservice GmbH Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"29.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"08ebb41ea6e19f09";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2009 bis zum 31.03.2010";"14.04.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4c3076acd19df169";"90128";"Wed Jul  8 22:58:15 2020"
"Stefan Maier Industrieservice GmbH Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"14.03.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1ea55ef119990181";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2008 bis zum 31.03.2009";"12.03.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"025bfa6957fd5ae9";"90128";"Wed Jul  8 22:58:15 2020"
"Stefan Maier Industrieservice GmbH Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"15.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"3c986ded5ad48a51";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2007 bis zum 31.03.2008";"27.02.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9349f3d3f2512c56";"90128";"Wed Jul  8 22:58:15 2020"
"MAIER INDUSTRIESERVICE GmbH Auenwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.3.2007";"18.04.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d1e29c05bd8fbd9f";"90128";"Wed Jul  8 22:58:15 2020"
