"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Market Port GmbH Warendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bc5a14e51aff2614";"24990";"Wed Jul  8 23:43:08 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011";"15.11.2011";"45%";"0d747c0b2dd5781887ce3d83356491d9";"2183c8ee11881393";"24990";"Wed Jul  8 23:43:08 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31.08.2019";"16.12.2019";"10%";"0d747c0b2dd5781887ce3d83356491d9";"38c02c325965d412";"24990";"Wed Jul  8 23:43:08 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2018";"06.11.2018";"10%";"0d747c0b2dd5781887ce3d83356491d9";"80823a2245a6521d";"24990";"Wed Jul  8 23:43:08 2020"
"Optinova Investmentaktiengesellschaft mit Teilgesellschaftsvermögen Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 31. Dezember 2017";"01.02.2018";"5%";"0d747c0b2dd5781887ce3d83356491d9";"c1119366dc40bfc5";"24990";"Wed Jul  8 23:43:08 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2017";"08.11.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"a33b4d1640efcd73";"24990";"Wed Jul  8 23:43:08 2020"
"Optinova Investmentaktiengesellschaft mit Teilgesellschaftsvermögen Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31.12.2016 Berichtigung der Veröffentlichung vom 07.02.2017";"12.05.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"3f9b89be3003b95e";"24990";"Wed Jul  8 23:43:08 2020"
"Optinova Investmentaktiengesellschaft mit Teilgesellschaftsvermögen Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31.12.2016 Berichtigt am 12.05.2017";"07.02.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"cbfadc9b1c3ce9cc";"24990";"Wed Jul  8 23:43:08 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 30. September 2016";"30.11.2016";"5%";"0d747c0b2dd5781887ce3d83356491d9";"9353f48f5e445b7d";"24990";"Wed Jul  8 23:43:08 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 31. August 2016";"26.10.2016";"5%";"0d747c0b2dd5781887ce3d83356491d9";"cab4e934987fd424";"24990";"Wed Jul  8 23:43:08 2020"
