"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.10.2018";"19.11.2019";"94%";"0d747c0b2dd5781887ce3d83356491d9";"4255b26cb9130f6e";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.01.2019";"94%";"0d747c0b2dd5781887ce3d83356491d9";"ec6d772d5ae8b03d";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.01.2018";"93%";"0d747c0b2dd5781887ce3d83356491d9";"9cad3c99d36c7ffa";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"05.09.2016";"93%";"0d747c0b2dd5781887ce3d83356491d9";"e8a3aea03e9c1705";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.12.2015";"93%";"0d747c0b2dd5781887ce3d83356491d9";"f653797e0f1c855a";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.08.2014";"93%";"0d747c0b2dd5781887ce3d83356491d9";"d2bd5d53cc85ff2a";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.02.2014";"93%";"0d747c0b2dd5781887ce3d83356491d9";"58fc331a99ea9389";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"26.11.2012";"93%";"0d747c0b2dd5781887ce3d83356491d9";"8b51e50bce0bb249";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"10.10.2011";"93%";"0d747c0b2dd5781887ce3d83356491d9";"57669c72f12d1b59";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"01.02.2011";"93%";"0d747c0b2dd5781887ce3d83356491d9";"068dd01bc0101edc";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.01.2010";"93%";"0d747c0b2dd5781887ce3d83356491d9";"f2d85af837b6c375";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"10.02.2009";"93%";"0d747c0b2dd5781887ce3d83356491d9";"3ef02240b49f27bc";"68842";"Wed Jul  8 23:10:09 2020"
"Mayer´sche Hofkunstanstalt GmbH -Mayer of Munich- München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"10.03.2008";"93%";"0d747c0b2dd5781887ce3d83356491d9";"9e4baca9a843868c";"68842";"Wed Jul  8 23:10:09 2020"
