"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Medios Digital GmbH (Berlin) Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Medios AG (Hamburg)";"08.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0693fe83129ed218";"62690";"Wed Jul  8 23:14:20 2020"
"Medios AG Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"04.05.2020";"0d747c0b2dd5781887ce3d83356491d9";"0693fe83129ed218";"62690";"Wed Jul  8 23:14:20 2020";"";""
"Medios Digital GmbH (Berlin) Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Medios AG (Hamburg)";"08.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d531689b6bdeb775";"62690";"Wed Jul  8 23:14:20 2020"
"Medios AG Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"04.05.2020";"0d747c0b2dd5781887ce3d83356491d9";"d531689b6bdeb775";"62690";"Wed Jul  8 23:14:20 2020";"";""
"Medios Digital GmbH (Berlin) Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Medios AG (Hamburg)";"30.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5fe07e8594d57e9e";"62690";"Wed Jul  8 23:14:20 2020"
"Medios AG Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"29.05.2019";"0d747c0b2dd5781887ce3d83356491d9";"5fe07e8594d57e9e";"62690";"Wed Jul  8 23:14:20 2020";"";""
"Medios Digital GmbH (Berlin) Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Medios AG (Hamburg)";"30.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"51e1dee2dfbc0153";"62690";"Wed Jul  8 23:14:20 2020"
"Medios AG Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"29.05.2019";"0d747c0b2dd5781887ce3d83356491d9";"51e1dee2dfbc0153";"62690";"Wed Jul  8 23:14:20 2020";"";""
"Medios Digital GmbH (Berlin) Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Medios AG (Hamburg)";"20.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b28c132b25e7efb4";"62690";"Wed Jul  8 23:14:20 2020"
"Medios AG (vormals: CREVALIS CAPITAL AG) Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.05.2018";"0d747c0b2dd5781887ce3d83356491d9";"b28c132b25e7efb4";"62690";"Wed Jul  8 23:14:20 2020";"";""
"Medios Digital GmbH (Berlin) Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Medios AG (Hamburg)";"20.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b635f4152dea6976";"62690";"Wed Jul  8 23:14:20 2020"
"Medios AG (vormals: CREVALIS CAPITAL AG) Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.05.2018";"0d747c0b2dd5781887ce3d83356491d9";"b635f4152dea6976";"62690";"Wed Jul  8 23:14:20 2020";"";""
"Medios AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"04.05.2020";"83%";"0d747c0b2dd5781887ce3d83356491d9";"6043a5711ce5787b";"62690";"Wed Jul  8 23:14:20 2020"
"Medios Analytics GmbH, Potsdam; Medios Digital GmbH, Berlin; Medios Individual GmbH, Berlin; Medios Manufaktur GmbH, Berlin; Medios Pharma GmbH, Berlin";"Wed Jul  8 23:14:20 2020";"";"";"";"";"";"";""
"Medios AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"29.05.2019";"83%";"0d747c0b2dd5781887ce3d83356491d9";"e20ca152a4a39a9d";"62690";"Wed Jul  8 23:14:20 2020"
"Medios Digital GmbH, Berlin; Medios Individual GmbH, Berlin; Medios Manufaktur GmbH, Berlin; Medios Pharma GmbH, Berlin";"Wed Jul  8 23:14:20 2020";"";"";"";"";"";"";""
"Medios AG (vormals: CREVALIS CAPITAL AG) Hamburg";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.05.2018";"75%";"0d747c0b2dd5781887ce3d83356491d9";"d467a139fcdbf333";"62690";"Wed Jul  8 23:14:20 2020"
"Medios Digital GmbH, Berlin; Medios Individual GmbH, Berlin; Medios Manufaktur GmbH, Berlin; Medios Pharma GmbH, Berlin";"Wed Jul  8 23:14:20 2020";"";"";"";"";"";"";""
