"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Mentz GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"01.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ccb7390c6a692271";"75974";"Wed Jul  8 23:29:37 2020"
"Dr. Hans Joachim Mentz Familienholding GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e00ad62b8431660f";"75974";"Wed Jul  8 23:29:37 2020"
"Mentzen GmbH Ratingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.09.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5f8cbfb018578b06";"75974";"Wed Jul  8 23:29:37 2020"
"Mentz GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bdeaeff29fdaf517";"75974";"Wed Jul  8 23:29:37 2020"
"Mentz,  Decker GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"513799a45961665d";"75974";"Wed Jul  8 23:29:37 2020"
"Mentz GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"24.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"063cb6fc09d4e00d";"75974";"Wed Jul  8 23:29:37 2020"
"Dr. Hans Joachim Mentz Familienholding GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"bf029517ef7d0412";"75974";"Wed Jul  8 23:29:37 2020"
"Mentzen GmbH Ratingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.05.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"580d7775679b21f4";"75974";"Wed Jul  8 23:29:37 2020"
"Mentz,  Decker GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"30.04.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"abb6c0dee03e7f96";"75974";"Wed Jul  8 23:29:37 2020"
"Mentz GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.08.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"05bf910b07940b47";"75974";"Wed Jul  8 23:29:37 2020"
