"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"29.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"01c4d6a8073412e3";"15596";"Wed Jul  8 23:22:50 2020"
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"14.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a140060f35370c2f";"15596";"Wed Jul  8 23:22:50 2020"
"Technoprint Gesellschaft für Informationstechnologie mbH Bielefeld";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.01.2020";"0d747c0b2dd5781887ce3d83356491d9";"a140060f35370c2f";"15596";"Wed Jul  8 23:22:50 2020";"";""
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"03.05.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6284e108b1a434f1";"15596";"Wed Jul  8 23:22:50 2020"
"Technoprint Gesellschaft für Informationstechnologie mbH Bielefeld";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.01.2019";"0d747c0b2dd5781887ce3d83356491d9";"6284e108b1a434f1";"15596";"Wed Jul  8 23:22:50 2020";"";""
"Microtec Gesellschaft für Microcomputervertrieb mbH (Bielefeld) Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"08.05.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"a946c4e125c4aca8";"15596";"Wed Jul  8 23:22:50 2020"
"Technoprint Gesellschaft für Informationstechnologie mbH Bielefeld";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.01.2018";"0d747c0b2dd5781887ce3d83356491d9";"a946c4e125c4aca8";"15596";"Wed Jul  8 23:22:50 2020";"";""
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"07.04.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"85006af76616b037";"15596";"Wed Jul  8 23:22:50 2020"
"Technoprint Gesellschaft für Informationstechnologie mbH Bielefeld";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.01.2017";"0d747c0b2dd5781887ce3d83356491d9";"85006af76616b037";"15596";"Wed Jul  8 23:22:50 2020";"";""
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"15.03.2016";"98%";"0d747c0b2dd5781887ce3d83356491d9";"1a9815300638b484";"15596";"Wed Jul  8 23:22:50 2020"
"Technoprint Gesellschaft für Informationstechnologie mbH Bielefeld";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.01.2017";"0d747c0b2dd5781887ce3d83356491d9";"1a9815300638b484";"15596";"Wed Jul  8 23:22:50 2020";"";""
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"11.05.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"05c917feedae667e";"15596";"Wed Jul  8 23:22:50 2020"
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"13.03.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"e248e55ffcb3bfb4";"15596";"Wed Jul  8 23:22:50 2020"
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"09.05.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5c9dbbb1096d3bf5";"15596";"Wed Jul  8 23:22:50 2020"
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"14.12.2012";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6aec2d10b56d0abe";"15596";"Wed Jul  8 23:22:50 2020"
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"30.12.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"aa28c109ea841ccc";"15596";"Wed Jul  8 23:22:50 2020"
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009 Technoprint Gesellschaft für Informationstechnologie mbH (Bielefeld)";"03.01.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"f8691d130298a331";"15596";"Wed Jul  8 23:22:50 2020"
"Microtec Gesellschaft für Microcomputervertrieb mbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 Technoprint Gesellschaft für Informationstechnologie mbH (Berlin)";"02.02.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"b5e0372de670e1ec";"15596";"Wed Jul  8 23:22:50 2020"
