"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"01.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"dd5544507f278c00";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a5892d0ad59d0a7b";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.09.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"605a186f06f6ce8f";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.07.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"0672e0b126dd8423";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"16.07.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f0e1b8402084ee3e";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.05.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e4280290b8ddb2f3";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"24.05.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"554554295b530422";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.03.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"be0aceed9ed9e96f";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"07.02.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3626c55f689e871a";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009 Ergänzung der Veröffentlichung vom 07.07.2010";"17.01.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"bb2a9c0b0d496709";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009 Ergänzt am 17.01.2012";"07.07.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"bcfc51adec421913";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.02.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"efe793ff50a8aaec";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"29.01.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"760575f498df9db4";"49014";"Wed Jul  8 22:37:51 2020"
"NConsult IT-Systemhaus GmbH Magdeburg";"Rechnungslegung/ Finanzberichte";"» JAHRESABSCHLUSS zum 31. Dezember 2006";"16.10.2007";"97%";"0d747c0b2dd5781887ce3d83356491d9";"dd687225ff35d058";"49014";"Wed Jul  8 22:37:51 2020"
