"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Telefónica Deutschland Holding AG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2018";"37%";"0d747c0b2dd5781887ce3d83356491d9";"3cb350039027c9e2";"67864";"Wed Jul  8 23:40:06 2020"
"Deutsche Börse Aktiengesellschaft Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"01.10.2015";"37%";"0d747c0b2dd5781887ce3d83356491d9";"01d9880cde89a597";"67864";"Wed Jul  8 23:40:06 2020"
"Deutsche Börse Aktiengesellschaft Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2014";"05.09.2014";"37%";"0d747c0b2dd5781887ce3d83356491d9";"6dfd476abcb53d92";"67864";"Wed Jul  8 23:40:06 2020"
"Plaut Aktiengesellschaft Wien";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"13.10.2010";"37%";"0d747c0b2dd5781887ce3d83356491d9";"21134669fdfbe67c";"67864";"Wed Jul  8 23:40:06 2020"
"INTERHYP AG München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"13.10.2010";"37%";"0d747c0b2dd5781887ce3d83356491d9";"23dd8bd695d3e77b";"67864";"Wed Jul  8 23:40:06 2020"
"PC-Ware Information Technologies AG Leipzig";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"11.03.2010";"37%";"0d747c0b2dd5781887ce3d83356491d9";"a0f39a6e5e4ef0ca";"67864";"Wed Jul  8 23:40:06 2020"
"313music JWP AG Unterföhring";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht 30.09.2008";"03.03.2009";"37%";"0d747c0b2dd5781887ce3d83356491d9";"12187ccfbce04c72";"67864";"Wed Jul  8 23:40:06 2020"
"313music JWP AG Unterföhring";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2008";"25.11.2008";"37%";"0d747c0b2dd5781887ce3d83356491d9";"e01427ab2a95473f";"67864";"Wed Jul  8 23:40:06 2020"
"Bayer Aktiengesellschaft Leverkusen";"Rechnungslegung/ Finanzberichte";"» Financial Report as of September 30, 2008";"06.11.2008";"37%";"0d747c0b2dd5781887ce3d83356491d9";"e735e7e9076f8b47";"67864";"Wed Jul  8 23:40:06 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 9 Months Report 2007/2008";"22.08.2008";"37%";"0d747c0b2dd5781887ce3d83356491d9";"98ec657611e24c75";"67864";"Wed Jul  8 23:40:06 2020"
"UBS AG Zürich Basel Schweiz";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"15.07.2008";"37%";"0d747c0b2dd5781887ce3d83356491d9";"8aabc86d747ea22f";"67864";"Wed Jul  8 23:40:06 2020"
"SHS VIVEON AG Planegg";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"15.04.2008";"37%";"0d747c0b2dd5781887ce3d83356491d9";"b3d206ca5bc31c76";"67864";"Wed Jul  8 23:40:06 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 3 Monatsbericht 2007/2008";"04.02.2008";"37%";"0d747c0b2dd5781887ce3d83356491d9";"a340787a5bba85ed";"67864";"Wed Jul  8 23:40:06 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» Konzern-Quartalsbericht vom 1. Juli 2006 bis zum 31. März 2007";"29.08.2007";"37%";"0d747c0b2dd5781887ce3d83356491d9";"7856098a3cdb0779";"67864";"Wed Jul  8 23:40:06 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 6 Monatsbericht 2006/2007";"28.03.2007";"37%";"0d747c0b2dd5781887ce3d83356491d9";"605e0b7de340aa2a";"67864";"Wed Jul  8 23:40:06 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"7%";"0d747c0b2dd5781887ce3d83356491d9";"ea46bc246b29d0de";"67864";"Wed Jul  8 23:40:06 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"7%";"0d747c0b2dd5781887ce3d83356491d9";"7460ee61b6939390";"67864";"Wed Jul  8 23:40:06 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"4%";"0d747c0b2dd5781887ce3d83356491d9";"71fd2b40f5da7d0b";"67864";"Wed Jul  8 23:40:06 2020"
"CPI PROPERTY GROUP Luxembourg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"21.09.2017";"4%";"0d747c0b2dd5781887ce3d83356491d9";"6217a7aaf8ba95e9";"67864";"Wed Jul  8 23:40:06 2020"
"Landesbank Baden-Württemberg Stuttgart";"Rechnungslegung/ Finanzberichte";"» Half-yearly financial report 2014";"13.04.2017";"4%";"0d747c0b2dd5781887ce3d83356491d9";"b9f8b1004dad5272";"67864";"Wed Jul  8 23:40:06 2020"
