"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"NUKEM Technologies Engineering Services GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"150950f12ccb9729";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"753ace9cf1bbc569";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies Engineering Services GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.03.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7e2b89c72e570887";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"693b7a5bfd51a8f5";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"12.04.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b81baba1fcfc3366";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies Engineering Services GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"12.04.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5939398cf202b99f";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies Engineering Services GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.05.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4538c7995f7af1da";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.05.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"10d591984540df9f";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies Engineering Services GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.05.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fcf0466ea7dec714";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.04.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9722f93b9344eb8d";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e8e30ffbbb97b231";"09994";"Wed Jul  8 23:12:15 2020"
"NUKEM Technologies Engineering Services GmbH Alzenau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 28.11.2013 bis zum 31.12.2013";"13.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b6248324d6ecba43";"09994";"Wed Jul  8 23:12:15 2020"
