"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"NÜRNBERGER Versicherung Immobilien Aktiengesellschaft Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"26.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0ffbc7a435317d16";"65107";"Wed Jul  8 22:38:51 2020"
"NÜRNBERGER Allgemeine Versicherungs-Aktiengesellschaft Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"05.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"29376641bfdc53bb";"65107";"Wed Jul  8 22:38:51 2020"
"NÜRNBERGER BEAMTEN ALLGEMEINE VERSICHERUNG AKTIENGESELLSCHAFT Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"05.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"43f6a262f03c309a";"65107";"Wed Jul  8 22:38:51 2020"
"NÜRNBERGER Versicherungs- und Bauspar-Vermittlungs-Gesellschaft mit beschränkter Haftung Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"19.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"01259e3c0f23d111";"65107";"Wed Jul  8 22:38:51 2020"
"NBG Grundstücks-Vermietungsgesellschaft mbH & Co. Objekt NÜRNBERGER VERSICHERUNGEN
                                       KG Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"152b3bb92262f233";"65107";"Wed Jul  8 22:38:51 2020"
"NÜRNBERGER BEAMTEN ALLGEMEINE VERSICHERUNG AKTIENGESELLSCHAFT Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"47ed4069a09b83bc";"65107";"Wed Jul  8 22:38:51 2020"
"NÜRNBERGER Versicherung Immobilien Aktiengesellschaft Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8119856828d77b17";"65107";"Wed Jul  8 22:38:51 2020"
"NÜRNBERGER Versicherungs- und Bauspar-Vermittlungs-Gesellschaft mit beschränkter Haftung Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ed15e1aa4860380a";"65107";"Wed Jul  8 22:38:51 2020"
"NÜRNBERGER Allgemeine Versicherungs-Aktiengesellschaft Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a7390a6797b511fd";"65107";"Wed Jul  8 22:38:51 2020"
"NBG Grundstücks-Vermietungsgesellschaft mbH & Co. Objekt NÜRNBERGER VERSICHERUNGEN
                                       KG Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9e6454e9ab51ffd3";"65107";"Wed Jul  8 22:38:51 2020"
