"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"dffc33bb9d8bdf40";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"35ba8271a4a594f5";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.01.2018";"99%";"0d747c0b2dd5781887ce3d83356491d9";"5ffb6e528fffe8aa";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.12.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"2697c534d6b57a58";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.01.2016";"99%";"0d747c0b2dd5781887ce3d83356491d9";"12e77c8ed4500c6f";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.01.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"2a659ba122052fdf";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.02.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"c745cb988fec278f";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.01.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"b69aefadca2712fe";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"07.02.2012";"99%";"0d747c0b2dd5781887ce3d83356491d9";"f462002a026bf540";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"24.01.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"c4219af602263770";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.01.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"fc3e14038b6b6af2";"99663";"Wed Jul  8 23:57:42 2020"
"OSG-Online Software Gesellschaft für neue Medien mbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"02.02.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"b21bc2310a3c47cd";"99663";"Wed Jul  8 23:57:42 2020"
